Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,epcf,varname,category,subcategory
BMXRECUM,Recumbent Length (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXRECUM,anthropometric,NA
BMXRECUM,Recumbent Length (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXRECUM,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX,Body Measures,1999,2000,Examination,None,p,BMXSUB,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXSUB,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXSUB,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXSUB,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXSUB,anthropometric,NA
BMXSUB,Subscapular Skinfold (mm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXSUB,anthropometric,NA
BMXTHICR,Thigh Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXTHICR,anthropometric,NA
BMXTHICR,Thigh Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXTHICR,anthropometric,NA
BMXTHICR,Thigh Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXTHICR,anthropometric,NA
BMXTHICR,Thigh Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXTHICR,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX,Body Measures,1999,2000,Examination,None,p,BMXTRI,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXTRI,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXTRI,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXTRI,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXTRI,anthropometric,NA
BMXTRI,Triceps Skinfold (mm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXTRI,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX,Body Measures,1999,2000,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWAIST,Waist Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXWAIST,anthropometric,NA
BMXWT,Weight (kg),BMX,Body Measures,1999,2000,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_B,Body Measures,2001,2002,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_C,Body Measures,2003,2004,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_D,Body Measures,2005,2006,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_E,Body Measures,2007,2008,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_F,Body Measures,2009,2010,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_G,Body Measures,2011,2012,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_H,Body Measures,2013,2014,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_I,Body Measures,2015,2016,Examination,None,p,BMXWT,anthropometric,NA
BMXWT,Weight (kg),BMX_J,Body Measures,2017,2018,Examination,None,p,BMXWT,anthropometric,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX,Blood Pressure,1999,2000,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_B,Blood Pressure,2001,2002,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_C,Blood Pressure,2003,2004,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_D,Blood Pressure,2005,2006,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_E,Blood Pressure,2007,2008,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_F,Blood Pressure,2009,2010,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_G,Blood Pressure,2011,2012,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_H,Blood Pressure,2013,2014,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_I,Blood Pressure,2015,2016,Examination,None,p,BPXCHR,blood pressure,NA
BPXCHR,60 sec HR (30 sec HR * 2),BPX_J,Blood Pressure,2017,2018,Examination,None,p,BPXCHR,blood pressure,NA
BPXDB,# of dropped beats in 30 seconds,BPX,Blood Pressure,1999,2000,Examination,None,p,BPXDB,blood pressure,NA
BPXDB,# of dropped beats in 30 seconds,BPX_B,Blood Pressure,2001,2002,Examination,None,p,BPXDB,blood pressure,NA
BPXDB,# of dropped beats in 30 seconds,BPX_C,Blood Pressure,2003,2004,Examination,None,p,BPXDB,blood pressure,NA
BPXDB,# of dropped beats in 30 seconds,BPX_D,Blood Pressure,2005,2006,Examination,None,p,BPXDB,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX,Blood Pressure,1999,2000,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_B,Blood Pressure,2001,2002,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_C,Blood Pressure,2003,2004,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_D,Blood Pressure,2005,2006,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_E,Blood Pressure,2007,2008,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,BPX_F,Blood Pressure,2009,2010,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_G,Blood Pressure,2011,2012,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_H,Blood Pressure,2013,2014,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_I,Blood Pressure,2015,2016,Examination,None,p,BPXPLS,blood pressure,NA
BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_J,Blood Pressure,2017,2018,Examination,None,p,BPXPLS,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX,Blood Pressure,1999,2000,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_B,Blood Pressure,2001,2002,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_C,Blood Pressure,2003,2004,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_D,Blood Pressure,2005,2006,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_E,Blood Pressure,2007,2008,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_F,Blood Pressure,2009,2010,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_G,Blood Pressure,2011,2012,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_H,Blood Pressure,2013,2014,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_I,Blood Pressure,2015,2016,Examination,None,p,BPXSY4,blood pressure,NA
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_J,Blood Pressure,2017,2018,Examination,None,p,BPXSY4,blood pressure,NA
CVDESVO2,Estimated maximal oxygen uptake (ml/kg/min).,CVX,Cardiovascular Fitness,1999,2000,Examination,None,p,CVDESVO2,fitness,NA
CVDESVO2,Estimated maximal oxygen uptake (ml/kg/min).,CVX_B,Cardiovascular Fitness,2001,2002,Examination,None,p,CVDESVO2,fitness,NA
CVDESVO2,Estimated maximal oxygen uptake (ml/kg/min).,CVX_C,Cardiovascular Fitness,2003,2004,Examination,None,p,CVDESVO2,fitness,NA
CVDFITLV,Cardiovascular fitness level,CVX,Cardiovascular Fitness,1999,2000,Examination,None,p,CVDFITLV,fitness,NA
CVDFITLV,Cardiovascular fitness level,CVX_B,Cardiovascular Fitness,2001,2002,Examination,None,p,CVDFITLV,fitness,NA
CVDFITLV,Cardiovascular fitness level,CVX_C,Cardiovascular Fitness,2003,2004,Examination,None,p,CVDFITLV,fitness,NA
CVDVOMAX,Predicted maximal oxygen uptake (ml/kg/min),CVX,Cardiovascular Fitness,1999,2000,Examination,None,p,CVDVOMAX,fitness,NA
CVDVOMAX,Predicted maximal oxygen uptake (ml/kg/min),CVX_B,Cardiovascular Fitness,2001,2002,Examination,None,p,CVDVOMAX,fitness,NA
CVDVOMAX,Predicted maximal oxygen uptake (ml/kg/min),CVX_C,Cardiovascular Fitness,2003,2004,Examination,None,p,CVDVOMAX,fitness,NA
DXAFMRD0,Calculated DO for femur,DXXFEM_D,Dual Energy X-ray Absorptiometry - Femur,2005,2006,Examination,None,p,DXAFMRD0,anthropometric,dexa
DXAFMRD0,Calculated DO for femur,DXXFEM_E,Dual Energy X-ray Absorptiometry - Femur,2007,2008,Examination,None,p,DXAFMRD0,anthropometric,dexa
DXAFMRD0,Calculated DO for femur,DXXFEM_F,Dual Energy X-ray Absorptiometry - Femur,2009,2010,Examination,None,p,DXAFMRD0,anthropometric,dexa
DXAFMRD0,Calculated DO for femur,DXXFEM_H,Dual-Energy X-ray Absorptiometry - Femur,2013,2014,Examination,None,p,DXAFMRD0,anthropometric,dexa
DXAFMRD0,Calculated DO for femur,DXXFEM_J,Dual-Energy X-ray Absorptiometry - Femur,2017,2018,Examination,None,p,DXAFMRD0,anthropometric,dexa
DXAFMRK,Calculated K for femur,DXXFEM_D,Dual Energy X-ray Absorptiometry - Femur,2005,2006,Examination,None,p,DXAFMRK,anthropometric,dexa
DXAFMRK,Calculated K for femur,DXXFEM_E,Dual Energy X-ray Absorptiometry - Femur,2007,2008,Examination,None,p,DXAFMRK,anthropometric,dexa
DXAFMRK,Calculated K for femur,DXXFEM_F,Dual Energy X-ray Absorptiometry - Femur,2009,2010,Examination,None,p,DXAFMRK,anthropometric,dexa
DXAFMRK,Calculated K for femur,DXXFEM_H,Dual-Energy X-ray Absorptiometry - Femur,2013,2014,Examination,None,p,DXAFMRK,anthropometric,dexa
DXAFMRK,Calculated K for femur,DXXFEM_J,Dual-Energy X-ray Absorptiometry - Femur,2017,2018,Examination,None,p,DXAFMRK,anthropometric,dexa
DXASPND0,Calculated D0 for spine,DXXSPN_D,Dual Energy X-ray Absorptiometry - Spine,2005,2006,Examination,None,p,DXASPND0,anthropometric,dexa
DXASPND0,Calculated D0 for spine,DXXSPN_E,Dual Energy X-ray Absorptiometry - Spine,2007,2008,Examination,None,p,DXASPND0,anthropometric,dexa
DXASPND0,Calculated DO for Spine,DXXSPN_F,Dual Energy X-ray Absorptiometry - Spine,2009,2010,Examination,None,p,DXASPND0,anthropometric,dexa
DXASPND0,Calculated DO for spine,DXXSPN_H,Dual-Energy X-ray Absorptiometry - Spine,2013,2014,Examination,None,p,DXASPND0,anthropometric,dexa
DXASPND0,Calculated DO for spine,DXXSPN_J,Dual-Energy X-ray Absorptiometry - Spine,2017,2018,Examination,None,p,DXASPND0,anthropometric,dexa
DXASPNK,Calculated K for spine,DXXSPN_D,Dual Energy X-ray Absorptiometry - Spine,2005,2006,Examination,None,p,DXASPNK,anthropometric,dexa
DXASPNK,Calculated K for spine,DXXSPN_E,Dual Energy X-ray Absorptiometry - Spine,2007,2008,Examination,None,p,DXASPNK,anthropometric,dexa
DXASPNK,Calculated K for spine,DXXSPN_F,Dual Energy X-ray Absorptiometry - Spine,2009,2010,Examination,None,p,DXASPNK,anthropometric,dexa
DXASPNK,Calculated K for spine,DXXSPN_H,Dual-Energy X-ray Absorptiometry - Spine,2013,2014,Examination,None,p,DXASPNK,anthropometric,dexa
DXASPNK,Calculated K for spine,DXXSPN_J,Dual-Energy X-ray Absorptiometry - Spine,2017,2018,Examination,None,p,DXASPNK,anthropometric,dexa
DXDHELE,Head Lean excl Bone Mineral Content (grams),DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDHELE,anthropometric,dexa
DXDHELE,Head Lean excl Bone Mineral Content (grams),DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDHELE,anthropometric,dexa
DXDHELE,Head Lean excl Bone Mineral Content (grams),DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDHELE,anthropometric,dexa
DXDHELE,Head Lean excl Bone Mineral Content (grams),DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDHELE,anthropometric,dexa
DXDHEPF,Head Percent Fat,DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDHEPF,anthropometric,dexa
DXDHEPF,Head Percent Fat,DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDHEPF,anthropometric,dexa
DXDHEPF,Head Percent Fat,DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDHEPF,anthropometric,dexa
DXDHEPF,Head Percent Fat,DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDHEPF,anthropometric,dexa
DXDHETOT,Head Total (grams),DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDHETOT,anthropometric,dexa
DXDHETOT,Head Total (grams),DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDHETOT,anthropometric,dexa
DXDHETOT,Head Total (grams),DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDHETOT,anthropometric,dexa
DXDHETOT,Head Total (grams),DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDHETOT,anthropometric,dexa
DXDLALE,Left Arm Lean excl Body Mineral Content (grams),DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDLALE,anthropometric,dexa
DXDLALE,Left Arm Lean excl Body Mineral Content (grams),DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDLALE,anthropometric,dexa
DXDLALE,Left Arm Lean excl Body Mineral Content (grams),DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDLALE,anthropometric,dexa
DXDLALE,Left Arm Lean excl Body Mineral Content (grams),DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDLALE,anthropometric,dexa
DXDLAPF,Left Arm Percent Fat,DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDLAPF,anthropometric,dexa
DXDLAPF,Left Arm Percent Fat,DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDLAPF,anthropometric,dexa
DXDLAPF,Left Arm Percent Fat,DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDLAPF,anthropometric,dexa
DXDLAPF,Left Arm Percent Fat,DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDLAPF,anthropometric,dexa
DXDLATOT,Left Arm Total (grams),DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDLATOT,anthropometric,dexa
DXDLATOT,Left Arm Total (grams),DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDLATOT,anthropometric,dexa
DXDLATOT,Left Arm Total (grams),DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDLATOT,anthropometric,dexa
DXDLATOT,Left Arm Total (grams),DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDLATOT,anthropometric,dexa
DXDLLLE,Left Leg Lean excl Bone Mineral Content (grams),DXX_G,Dual-Energy X-ray Absorptiometry - Whole Body,2011,2012,Examination,None,p,DXDLLLE,anthropometric,dexa
DXDLLLE,Left Leg Lean excl Bone Mineral Content (grams),DXX_H,Dual-Energy X-ray Absorptiometry - Whole Body,2013,2014,Examination,None,p,DXDLLLE,anthropometric,dexa
DXDLLLE,Left Leg Lean excl Bone Mineral Content (grams),DXX_I,Dual-Energy X-ray Absorptiometry - Whole Body,2015,2016,Examination,None,p,DXDLLLE,anthropometric,dexa
DXDLLLE,Left Leg Lean excl Bone Mineral Content (grams),DXX_J,Dual-Energy X-ray Absorptiometry - Whole Body,2017,2018,Examination,None,p,DXDLLLE,anthropometric,dexa
