Variable.Name,sample_vardesc,sample_tablename,epcf,n,category,subcategory
ARQ021BA,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BB,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BC,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BD,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BE,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BF,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021BG,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CA,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CB,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CC,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CD,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CE,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CF,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ021CG,Next we are going to ask you a series of questions about the location{s} yo,Arthritis,p,1,disease,arthritis
ARQ022A,"How old {were you/was SP} when {you/s/he} first had NECK pain, aching or st",Arthritis,p,1,disease,arthritis
ARQ022AA,"Do {you/SP} still have NECK pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AB,"Do {you/SP} still have UPPER BACK pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AC,"Do {you/SP} still have MID BACK pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AD,"Do {you/SP} still have LOW BACK pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AE,"Do {you/SP} still have BUTTOCKS pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AF,"Do {you/SP} still have HIP pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022AG,"Do {you/SP} still have RIB CAGE pain, aching or stiffness?",Arthritis,p,1,disease,arthritis
ARQ022B,"How old {were you/was SP} when {you/s/he} first had UPPER BACK pain, aching",Arthritis,p,1,disease,arthritis
ARQ022C,"How old {were you/was SP} when {you/s/he} first had MID BACK pain, aching o",Arthritis,p,1,disease,arthritis
ARQ022D,"How old {were you/was SP} when {you/s/he} first had LOW BACK pain, aching o",Arthritis,p,1,disease,arthritis
ARQ022E,"How old {were you/was SP} when {you/s/he} first had BUTTOCKS pain, aching o",Arthritis,p,1,disease,arthritis
ARQ022F,"How old {were you/was SP} when {you/s/he} first had HIP pain, aching or sti",Arthritis,p,1,disease,arthritis
ARQ022G,"How old {were you/was SP} when {you/s/he} first had RIB CAGE pain, aching o",Arthritis,p,1,disease,arthritis
ARQ023GA,"When did {you/s/he} last have NECK pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GB,"When did {you/s/he} last have UPPER BACK pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GC,"When did {you/s/he} last have MID BACK pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GD,"When did {you/s/he} last have LOW BACK pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GE,"When did {you/s/he} last have BUTTOCKS pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GF,"When did {you/s/he} last have HIP pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023GG,"When did {you/s/he} last have RIB CAGE pain, aching, or stiffness?",Arthritis,p,1,disease,arthritis
ARQ023QA,"How old {were you/was SP} when {you/s/he} last had NECK pain, aching, or st",Arthritis,p,1,disease,arthritis
ARQ023QB,"How old {were you/was SP} when {you/s/he} last had UPPER BACK pain, aching,",Arthritis,p,1,disease,arthritis
ARQ023QC,"How old {were you/was SP} when {you/s/he} last had MID BACK pain, aching, o",Arthritis,p,1,disease,arthritis
ARQ023QD,"How old {were you/was SP} when {you/s/he} last had LOW BACK pain, aching, o",Arthritis,p,1,disease,arthritis
ARQ023QE,"How old {were you/was SP} when {you/s/he} last had BUTTOCK pain, aching, or",Arthritis,p,1,disease,arthritis
ARQ023QF,"How old {were you/was SP} when {you/s/he} last had HIP pain, aching, or sti",Arthritis,p,1,disease,arthritis
ARQ023QG,"How old {were you/was SP} when {you/s/he} last had RIB CAGE pain, aching, o",Arthritis,p,1,disease,arthritis
ARQ024A,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024B,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024C,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024D,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024E,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024F,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ024G,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",Arthritis,p,1,disease,arthritis
ARQ025A,"How long did it take for {your/SP's} NECK pain, aching or stiffness to full",Arthritis,p,1,disease,arthritis
ARQ025B,"How long did it take for {your/SP's} UPPER BACK pain, aching or stiffness t",Arthritis,p,1,disease,arthritis
ARQ025C,"How long did it take for {your/SP's} MID BACK pain, aching or stiffness to ",Arthritis,p,1,disease,arthritis
ARQ025D,"How long did it take for {your/SP's} LOW BACK pain, aching or stiffness to ",Arthritis,p,1,disease,arthritis
ARQ025E,"How long did it take for {your/SP's} BUTTOCKS pain, aching or stiffness to ",Arthritis,p,1,disease,arthritis
ARQ025F,"How long did it take for {your/SP's} HIP pain, aching or stiffness to fully",Arthritis,p,1,disease,arthritis
ARQ025G,"How long did it take for {your/SP's} RIB CAGE pain, aching or stiffness to ",Arthritis,p,1,disease,arthritis
ARQ030A,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",Arthritis,p,1,disease,arthritis
ARQ030B,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",Arthritis,p,1,disease,arthritis
ARQ030C,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",Arthritis,p,1,disease,arthritis
ARQ030D,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",Arthritis,p,1,disease,arthritis
ARQ030E,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",Arthritis,p,1,disease,arthritis
ARQ034A,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},Arthritis,p,1,disease,arthritis
ARQ034B,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},Arthritis,p,1,disease,arthritis
ARQ034C,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},Arthritis,p,1,disease,arthritis
ARQ034D,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},Arthritis,p,1,disease,arthritis
ARQ034E,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},Arthritis,p,1,disease,arthritis
ARQ040,The next question is just about stiffness in {your/SP's} {back/{or} neck/{o,Arthritis,p,1,disease,arthritis
ARQ050,"Next are questions about pain, aching or stiffness in {your/SP's} {back/{or",Arthritis,p,1,disease,arthritis
ARQ060,"If {you/SP} {don't/doesn't/didn't} take medicine, what usually {happens/hap",Arthritis,p,1,disease,arthritis
ARQ070,"If {you/SP} {don't/doesn't/didn't} take any medicine, {do/does/did} {you/he",Arthritis,p,1,disease,arthritis
ARQ073,If {you/SP} {don't/doesn't/didn't} take any medicine {does/did} {your/his/h,Arthritis,p,1,disease,arthritis
ARQ077,"Was it {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness",Arthritis,p,1,disease,arthritis
ARQ080,"Does/Did} {your/SP's} pain, aching or stiffness usually get better when {yo",Arthritis,p,1,disease,arthritis
ARQ100,"{Does/Did} the pain, aching or stiffness in {your/SP's} buttocks ever switc",Arthritis,p,1,disease,arthritis
ARQ110,Please look at this hand card. HAND CARD ARQ2. Besides injuries or fracture,Arthritis,p,1,disease,arthritis
ARQ112A,Was the pain at Location A on the diagram (the plantar aspect of the heel)?,Arthritis,p,1,disease,arthritis
ARQ112B,Was the pain at Location B on the diagram (the posterior Achilles tendon ar,Arthritis,p,1,disease,arthritis
ARQ118AA,Was the cause of the pain at Location A Heel Spurs,Arthritis,p,1,disease,arthritis
ARQ118AB,Was the cause of the pain at Location A Plantar Fasciitis,Arthritis,p,1,disease,arthritis
ARQ118AC,Was the cause of the pain at Location A Achilles tendonitis,Arthritis,p,1,disease,arthritis
ARQ118AD,Was the cause of the pain at Location A other tendonitis,Arthritis,p,1,disease,arthritis
ARQ118AJ,Was the cause of the pain at Location A Gout,Arthritis,p,1,disease,arthritis
ARQ118AM,Was the cause of the pain at Location A Swelling,Arthritis,p,1,disease,arthritis
ARQ118AN,Was the cause of the pain at Location A Nerve pain,Arthritis,p,1,disease,arthritis
ARQ118BA,Was the cause of the pain at Location B: Heel Spurs,Arthritis,p,1,disease,arthritis
ARQ118BB,Was the cause of the pain at  Location B: Plantar Fasciitis,Arthritis,p,1,disease,arthritis
ARQ118BC,Was the cause of the pain at  Location B: Achilles tendonitis,Arthritis,p,1,disease,arthritis
ARQ118BD,Was the cause of the pain at Location B: other tendonitis?,Arthritis,p,1,disease,arthritis
ARQ118BJ,Was the cause of the pain at  Location B: Gout,Arthritis,p,1,disease,arthritis
ARQ118BM,Was the cause of the pain at  Location B: Swelling,Arthritis,p,1,disease,arthritis
ARQ118BN,Was the cause of the pain at  Location B: Nerve pain,Arthritis,p,1,disease,arthritis
ARQ125C,"Next are some questions about conditions that affect the eyes, the intestin",Arthritis,p,1,disease,arthritis
ARQ125D,"Next are some questions about conditions that affect the eyes, the intestin",Arthritis,p,1,disease,arthritis
ARQ125E,"Next are some questions about conditions that affect the eyes, the intestin",Arthritis,p,1,disease,arthritis
ARQ135C,At the time the doctor told {you/SP} that {you/s/he} had ulcerative colitis,Arthritis,p,1,disease,arthritis
ARQ135D,At the time the doctor told {you/SP} that {you/s/he} had Crohn's (crow-n-z),Arthritis,p,1,disease,arthritis
ARXCCEX,"CHEST CIRCUMFERENCE MEASUREMENT, EXHALATION (CENTIMETERS)",Arthritis Body Measures,p,1,disease,arthritis
ARXCCIN,"CHEST CIRCUMFERENCE MEASUREMENT, INSPIRATION (CENTIMETERS)",Arthritis Body Measures,p,1,disease,arthritis
ARXO2WD,OCCIPUT-TO-WALL DISTANCE IN CENTIMETERS,Arthritis Body Measures,p,1,disease,arthritis
ARXXDIST,DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS (CENTIMETERS),Arthritis Body Measures,p,1,disease,arthritis
BMAAMP,Amputations?,Body Measures,p,1,disease,amputation
BMAEXCMT,Comment code for an exam,Body Measures,p,1,disease,amputation
BMAEXLEN,Exam length in seconds,Body Measures,p,1,disease,amputation
BMAEXSTS,Status of a MEC exam,Body Measures,p,1,disease,amputation
BMALLEXT,Amputations: Lower Left Extremity?,Body Measures,p,1,disease,amputation
BMALLKNE,Amputations: Lower Left.   Above or Below Knee?,Body Measures,p,1,disease,amputation
BMALOREX,Amputations: Lower Right Extremity?,Body Measures,p,1,disease,amputation
BMALORKN,Amputations: Lower Right.   Above or Below Knee?,Body Measures,p,1,disease,amputation
BMAULEXT,Amputations: Upper Left Extremity?,Body Measures,p,1,disease,amputation
BMAUPLEL,Amputations: Upper Left.   Above or Below Elbow?,Body Measures,p,1,disease,amputation
BMAUPREL,Amputations: Upper Right.   Above or Below Elbow?,Body Measures,p,1,disease,amputation
BMAUREXT,Amputations: Upper Right Extremity?,Body Measures,p,1,disease,amputation
BMDARMLF,Unusual value noted during data review of BMXARML,Body Measures,p,1,disease,amputation
BMDAVSAD,,Body Measures,p,3,disease,amputation
BMDBMIC,BMI Category - Children/Adolescents,Body Measures,p,3,anthropometric,
BMDCALFF,Unusual value noted during data review of BMXCALF,Body Measures,p,1,anthropometric,
BMDLEGF,Unusual value noted during data review of BMXLEG,Body Measures,p,1,anthropometric,
BMDRECUF,The difference between BMXRECUM and BMXHT for children 24-47 months is > 2.,Body Measures,p,1,anthropometric,
BMDSADCM,Sagittal Abdominal Diameter Comment,Body Measures,p,3,anthropometric,
BMDSTATS,Body Measures Component status Code,Body Measures,p,8,anthropometric,
BMDSUBF,Unusual value noted during data review of BMXSUB,Body Measures,p,1,anthropometric,
BMDTHICF,Unusual value noted during data review of BMXTHICM,Body Measures,p,1,anthropometric,
BMIARMC,Arm Circumference Comment,Body Measures,p,10,anthropometric,
BMIARML,Upper Arm Length Comment,Body Measures,p,10,anthropometric,
BMICALF,Maximal Calf Comment,Body Measures,p,4,anthropometric,
BMIHEAD,Head Circumference Comment,Body Measures,p,10,anthropometric,
BMIHIP,Hip Circumference Comment,Body Measures,p,1,anthropometric,
BMIHT,Standing Height Comment,Body Measures,p,10,anthropometric,
BMILEG,Upper Leg Length Comment,Body Measures,p,10,anthropometric,
BMIRECUM,Recumbent Length Comment,Body Measures,p,10,anthropometric,
BMISUB,Subscapular Skinfold Comment,Body Measures,p,6,anthropometric,
BMITHICR,Thigh Circumference Comment,Body Measures,p,4,anthropometric,
BMITRI,Triceps Skinfold Comment,Body Measures,p,6,anthropometric,
BMIWAIST,Waist Circumference Comment,Body Measures,p,10,anthropometric,
BMIWT,Weight Comment,Body Measures,p,10,anthropometric,
BMXARMC,Arm Circumference (cm),Body Measures,p,10,anthropometric,
BMXARML,Upper Arm Length (cm),Body Measures,p,10,anthropometric,
BMXBMI,Body Mass Index (kg/m**2),Body Measures,p,10,anthropometric,
BMXCALF,Maximal Calf Circumference (cm),Body Measures,p,4,anthropometric,
BMXHEAD,Head Circumference (cm),Body Measures,p,10,anthropometric,
BMXHIP,Hip Circumference (cm),Body Measures,p,1,anthropometric,
BMXHT,Standing Height (cm),Body Measures,p,10,anthropometric,
BMXLEG,Upper Leg Length (cm),Body Measures,p,10,anthropometric,
BMXRECUM,Recumbent Length (cm),Body Measures,p,10,anthropometric,
BMXSAD1,Sagittal Abdominal Diameter 1st (cm),Body Measures,p,3,anthropometric,
BMXSAD2,Sagittal Abdominal Diameter 2nd (cm),Body Measures,p,3,anthropometric,
BMXSAD3,Sagittal Abdominal Diameter 3rd (cm),Body Measures,p,3,anthropometric,
BMXSAD4,Sagittal Abdominal Diameter 4th (cm),Body Measures,p,3,anthropometric,
BMXSUB,Subscapular Skinfold (mm),Body Measures,p,6,anthropometric,
BMXTHICR,Thigh Circumference (cm),Body Measures,p,4,anthropometric,
BMXTRI,Triceps Skinfold (mm),Body Measures,p,6,anthropometric,
BMXWAIST,Waist Circumference (cm),Body Measures,p,10,anthropometric,
BMXWT,Weight (kg),Body Measures,p,10,anthropometric,
BPAARM,Arm selected:,Blood Pressure,p,10,blood pressure,
BPACSZ,Cuff size (cm) (width X length),Blood Pressure,p,10,blood pressure,
BPAEN1,Enhancement used first reading,Blood Pressure,p,10,blood pressure,
BPAEN2,Enhancement used second reading,Blood Pressure,p,10,blood pressure,
BPAEN3,Enhancement used third reading,Blood Pressure,p,10,blood pressure,
BPAEN4,Enhancement used fourth reading,Blood Pressure,p,10,blood pressure,
BPQ150A,Have you had any of the following in the past 30 minutes?:  Food,Blood Pressure,p,7,blood pressure,
BPQ150B,Have you had any of the following in the past 30 minutes?:  Alcohol,Blood Pressure,p,7,blood pressure,
BPQ150C,Have you had any of the following in the past 30 minutes?:  Coffee,Blood Pressure,p,7,blood pressure,
BPQ150D,Have you had any of the following in the past 30 minutes?:  Cigarettes,Blood Pressure,p,7,blood pressure,
BPXCHR,60 sec HR (30 sec HR * 2),Blood Pressure,p,10,blood pressure,
BPXDAR,Diastolic blood pressure average:,Blood Pressure,p,2,blood pressure,
BPXDB,# of dropped beats in 30 seconds,Blood Pressure,p,4,blood pressure,
BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXDI4,Diastolic:  Blood pressure (fourth reading if necessary) mm Hg,Blood Pressure,p,10,blood pressure,
BPXML1,MIL: maximum inflation levels (mm Hg),Blood Pressure,p,10,blood pressure,
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,Blood Pressure,p,10,blood pressure,
BPXPTY,Pulse type:,Blood Pressure,p,10,blood pressure,
BPXPULS,Pulse regular or irregular?,Blood Pressure,p,10,blood pressure,
BPXSAR,Systolic blood pressure average:,Blood Pressure,p,2,blood pressure,
BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,Blood Pressure,p,10,blood pressure,
BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,Blood Pressure,p,10,blood pressure,
CKD060,"In the last 3 days, have {you/SP} had any muscle pain or soreness?",Creatine Kinase,p,2,disease,kidney
CKQ010,"In the past 3 days, did {you/SP} do any strenuous exercise or heavy physica",Creatine Kinase,p,2,disease,kidney
CKQ020,Did it make {your/SP's} muscles sore or painful?,Creatine Kinase,p,2,disease,kidney
CKQ030,"In the past 3 days, {have you/has SP} had a muscle injury, bruise or inject",Creatine Kinase,p,2,disease,kidney
CKQ040,Did it make {your/SP's} muscles sore or painful?,Creatine Kinase,p,2,disease,kidney
CKQ070Q,"For how many days, weeks, months or years long {have you/has SP} had this p",Creatine Kinase,p,2,disease,kidney
CKQ070U,"For how many days, weeks, months or years long {have you/has SP} had this p",Creatine Kinase,p,2,disease,kidney
CVAARM,Arm selected for blood pressure monitoring,Cardiovascular Fitness,p,3,fitness,
CVACUFF,Cuff size used for blood pressure monitoring,Cardiovascular Fitness,p,3,fitness,
CVAPROT,Assigned exercise protocol,Cardiovascular Fitness,p,3,fitness,
CVATEMP,Room temperature (Degrees Fahrenheit),Cardiovascular Fitness,p,3,fitness,
CVAVEST,Mesh vest used,Cardiovascular Fitness,p,3,fitness,
CVAWG1,Warm-up grade (% incline),Cardiovascular Fitness,p,3,fitness,
CVAWS1,Warm-up speed (miles per hour),Cardiovascular Fitness,p,3,fitness,
CVDESVO2,Estimated maximal oxygen uptake (ml/kg/min).,Cardiovascular Fitness,p,3,fitness,
CVDEXCL1,Excluded from exam due to selected physical functioning limitations,Cardiovascular Fitness,p,3,fitness,
CVDEXCL2,Excluded from exam due to selected cardiovascular conditions/symptoms,Cardiovascular Fitness,p,3,fitness,
CVDEXCL3,Excluded from exam due to selected lung/breathing conditions/symptoms,Cardiovascular Fitness,p,3,fitness,
CVDEXCL4,Excluded from exam due to selected asthma symptoms,Cardiovascular Fitness,p,3,fitness,
CVDEXCL5,Excluded from exam due to taking selected exclusionary medications,Cardiovascular Fitness,p,3,fitness,
CVDEXCL6,Excluded from exam due to other specific reasons,Cardiovascular Fitness,p,3,fitness,
CVDEXCMT,Comment code for CV fitness exam status,Cardiovascular Fitness,p,3,fitness,
CVDEXLEN,Length of the CV fitness exam (minutes),Cardiovascular Fitness,p,3,fitness,
CVDEXMER,Examiner ID code,Cardiovascular Fitness,p,3,fitness,
CVDEXSTS,CV fitness exam status,Cardiovascular Fitness,p,3,fitness,
CVDFITLV,Cardiovascular fitness level,Cardiovascular Fitness,p,3,fitness,
CVDPMHR,Predicted maximal heart rate (per minute),Cardiovascular Fitness,p,3,fitness,
CVDPROT,Exercise protocol used in stage 1 and stage 2 after adjustment for warm-up ,Cardiovascular Fitness,p,3,fitness,
CVDR1DI,Recovery 1 diastolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR1HR,Recovery 1 heart rate (per minute),Cardiovascular Fitness,p,3,fitness,
CVDR1SY,Recovery 1 systolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR1TIM,Amount of time spent in Recovery 1 (minutes),Cardiovascular Fitness,p,3,fitness,
CVDR2DI,Recovery 2 diastolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR2HR,Recovery 2 heart rate (per minute),Cardiovascular Fitness,p,3,fitness,
CVDR2SY,Recovery 2 systolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR2TIM,Amount of time spent in Recovery 2 (minutes),Cardiovascular Fitness,p,3,fitness,
CVDR3DI,Recovery 3 diastolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR3HR,Recovery 3 heart rate (per minute),Cardiovascular Fitness,p,3,fitness,
CVDR3SY,Recovery 3 systolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDR3TIM,Amount of time spent in Recovery 3 (minutes),Cardiovascular Fitness,p,3,fitness,
CVDS1DI,Stage 1 diastolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
CVDS1G,Stage 1 grade (% incline),Cardiovascular Fitness,p,3,fitness,
CVDS1HR,Stage 1 heart rate (per minute),Cardiovascular Fitness,p,3,fitness,
CVDS1S,Stage 1 speed (miles per hour),Cardiovascular Fitness,p,3,fitness,
CVDS1SY,Stage 1 systolic blood pressure (mm Hg),Cardiovascular Fitness,p,3,fitness,
