Data.File.Name,Variable.Name,Data.File.Description,Component,Use.Constraints,Begin.Year,EndYear,Variable.Description
DADA2RB_FAMILY_COUNT_G,RB_family32_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family33_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae
DADA2RB_FAMILY_COUNT_G,RB_family34_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Mycobacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family35_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;NA
DADA2RB_FAMILY_COUNT_G,RB_family36_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Nocardiaceae
DADA2RB_FAMILY_COUNT_G,RB_family37_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Tsukamurellaceae
DADA2RB_FAMILY_COUNT_G,RB_family38_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae
DADA2RB_FAMILY_COUNT_G,RB_family39_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Cryptosporangiaceae
DADA2RB_FAMILY_COUNT_G,RB_family40_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Frankiaceae
DADA2RB_FAMILY_COUNT_G,RB_family41_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Geodermatophilaceae
DADA2RB_FAMILY_COUNT_G,RB_family42_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;NA
DADA2RB_FAMILY_COUNT_G,RB_family43_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae
DADA2RB_FAMILY_COUNT_G,RB_family44_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Frankiales;Sporichthyaceae
DADA2RB_FAMILY_COUNT_G,RB_family45_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Glycomycetales;Glycomycetaceae
DADA2RB_FAMILY_COUNT_G,RB_family46_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Kineosporiales;Kineosporiaceae
DADA2RB_FAMILY_COUNT_G,RB_family47_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Beutenbergiaceae
DADA2RB_FAMILY_COUNT_G,RB_family48_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Bogoriellaceae
DADA2RB_FAMILY_COUNT_G,RB_family49_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family50_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae
DADA2RB_FAMILY_COUNT_G,RB_family51_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae
DADA2RB_FAMILY_COUNT_G,RB_family52_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermabacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family53_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermacoccaceae
DADA2RB_FAMILY_COUNT_G,RB_family54_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae
DADA2RB_FAMILY_COUNT_G,RB_family55_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae
DADA2RB_FAMILY_COUNT_G,RB_family56_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family57_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae
DADA2RB_FAMILY_COUNT_G,RB_family58_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;NA
DADA2RB_FAMILY_COUNT_G,RB_family59_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Promicromonosporaceae
DADA2RB_FAMILY_COUNT_G,RB_family60_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Rarobacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family61_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Sanguibacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family62_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae
DADA2RB_FAMILY_COUNT_G,RB_family63_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family64_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;PeM15;NA
DADA2RB_FAMILY_COUNT_G,RB_family65_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;NA
DADA2RB_FAMILY_COUNT_G,RB_family66_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Nocardioidaceae
DADA2RB_FAMILY_COUNT_G,RB_family67_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family68_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae
DADA2RB_FAMILY_COUNT_G,RB_family69_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;RL185-aaj71c12;NA
DADA2RB_FAMILY_COUNT_G,RB_family70_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae
DADA2RB_FAMILY_COUNT_G,RB_family71_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;NA
DADA2RB_FAMILY_COUNT_G,RB_family72_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae
DADA2RB_FAMILY_COUNT_G,RB_family73_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae
DADA2RB_FAMILY_COUNT_G,RB_family74_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Thermomonosporaceae
DADA2RB_FAMILY_COUNT_G,RB_family75_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family76_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;MB-A2-108;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family77_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;NA;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family78_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Nitriliruptoria;Euzebyales;Euzebyaceae
DADA2RB_FAMILY_COUNT_G,RB_family79_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Nitriliruptoria;Nitriliruptorales;Nitriliruptoraceae
DADA2RB_FAMILY_COUNT_G,RB_family80_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family81_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;TakashiAC-B11;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family82_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;Gaiellaceae
DADA2RB_FAMILY_COUNT_G,RB_family83_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;NA
DADA2RB_FAMILY_COUNT_G,RB_family84_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family85_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;0319-6M6
DADA2RB_FAMILY_COUNT_G,RB_family86_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;288-2
DADA2RB_FAMILY_COUNT_G,RB_family87_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;480-2
DADA2RB_FAMILY_COUNT_G,RB_family88_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family89_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Elev-16S-1332
DADA2RB_FAMILY_COUNT_G,RB_family90_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;FFCH13075
DADA2RB_FAMILY_COUNT_G,RB_family91_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;NA
DADA2RB_FAMILY_COUNT_G,RB_family92_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Patulibacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family93_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;S1-80
DADA2RB_FAMILY_COUNT_G,RB_family94_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae
DADA2RB_FAMILY_COUNT_G,RB_family95_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;TM146
DADA2RB_FAMILY_COUNT_G,RB_family96_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;YNPFFP1
DADA2RB_FAMILY_COUNT_G,RB_family97_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae
DADA2RB_FAMILY_COUNT_G,RB_family98_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Armatimonadetes;NA;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family99_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Atribacteria;Atribacteria_Incertae_Sedis;Unknown_Order;Unknown_Family
DADA2RB_FAMILY_COUNT_G,RB_family100_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidetes_VC2.1_Bac22;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family101_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidetes_vadinHA17;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family102_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae
DADA2RB_FAMILY_COUNT_G,RB_family103_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_BS11_gut_group
DADA2RB_FAMILY_COUNT_G,RB_family104_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_Incertae_Sedis
DADA2RB_FAMILY_COUNT_G,RB_family105_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_RF16_group
DADA2RB_FAMILY_COUNT_G,RB_family106_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_S24-7_group
DADA2RB_FAMILY_COUNT_G,RB_family107_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_UCG-001
DADA2RB_FAMILY_COUNT_G,RB_family108_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;FTLpost3
DADA2RB_FAMILY_COUNT_G,RB_family109_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;M2PB4-65_termite_group
DADA2RB_FAMILY_COUNT_G,RB_family110_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae
DADA2RB_FAMILY_COUNT_G,RB_family111_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA
DADA2RB_FAMILY_COUNT_G,RB_family112_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;PL-11B8_wastewater-sludge_group
DADA2RB_FAMILY_COUNT_G,RB_family113_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae
DADA2RB_FAMILY_COUNT_G,RB_family114_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae
DADA2RB_FAMILY_COUNT_G,RB_family115_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
DADA2RB_FAMILY_COUNT_G,RB_family116_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;p-2534-18B5_gut_group
DADA2RB_FAMILY_COUNT_G,RB_family117_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ratAN060301C
DADA2RB_FAMILY_COUNT_G,RB_family118_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidia_Incertae_Sedis;Draconibacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family119_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Bacteroidia;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family120_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family121_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae
DADA2RB_FAMILY_COUNT_G,RB_family122_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae
DADA2RB_FAMILY_COUNT_G,RB_family123_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;Cytophagales;NA
DADA2RB_FAMILY_COUNT_G,RB_family124_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family125_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Cytophagia;Order_II;Rhodothermaceae
DADA2RB_FAMILY_COUNT_G,RB_family126_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Blattabacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family127_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae
DADA2RB_FAMILY_COUNT_G,RB_family128_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
DADA2RB_FAMILY_COUNT_G,RB_family129_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NA
DADA2RB_FAMILY_COUNT_G,RB_family130_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9_marine_group
DADA2RB_FAMILY_COUNT_G,RB_family131_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;NA;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family132_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;SB-5;NA;NA
DADA2RB_FAMILY_COUNT_G,RB_family133_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
DADA2RB_FAMILY_COUNT_G,RB_family134_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;KD3-93
DADA2RB_FAMILY_COUNT_G,RB_family135_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NA
DADA2RB_FAMILY_COUNT_G,RB_family136_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12_marine_group
DADA2RB_FAMILY_COUNT_G,RB_family137_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;PHOS-HE51
DADA2RB_FAMILY_COUNT_G,RB_family138_count,DADA2RB_FAMILY_COUNT_G,Laboratory,None,2011,2012,Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae
