pvarname,evarname,n,e_table_name,p_table_name
LinAge,DRXTCARB,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCARB,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCARB,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCARB,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCARB,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCARB,1178,DRXTOT,DNAM_A
Nkcell,DRXTCARB,1178,DRXTOT,DNAM_A
Bcell,DRXTCARB,1178,DRXTOT,DNAM_A
MonoPP,DRXTCARB,1178,DRXTOT,DNAM_A
NeuPP,DRXTCARB,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCARB,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCARO,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCARO,1178,DRXTOT,DNAM_A
HannumAge,DRXTCARO,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCARO,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCARO,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCARO,1178,DRXTOT,DNAM_A
B2MMort,DRXTCARO,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCARO,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCARO,1178,DRXTOT,DNAM_A
ADMMort,DRXTCARO,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCARO,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCARO,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCARO,1178,DRXTOT,DNAM_A
CRPMort,DRXTCARO,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCARO,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCARO,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCARO,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCARO,1178,DRXTOT,DNAM_A
YangCell,DRXTCARO,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCARO,1178,DRXTOT,DNAM_A
LinAge,DRXTCARO,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCARO,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCARO,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCARO,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCARO,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCARO,1178,DRXTOT,DNAM_A
Nkcell,DRXTCARO,1178,DRXTOT,DNAM_A
Bcell,DRXTCARO,1178,DRXTOT,DNAM_A
MonoPP,DRXTCARO,1178,DRXTOT,DNAM_A
NeuPP,DRXTCARO,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCARO,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCHOL,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCHOL,1178,DRXTOT,DNAM_A
HannumAge,DRXTCHOL,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCHOL,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCHOL,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCHOL,1178,DRXTOT,DNAM_A
B2MMort,DRXTCHOL,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCHOL,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCHOL,1178,DRXTOT,DNAM_A
ADMMort,DRXTCHOL,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCHOL,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCHOL,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCHOL,1178,DRXTOT,DNAM_A
CRPMort,DRXTCHOL,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCHOL,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCHOL,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCHOL,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCHOL,1178,DRXTOT,DNAM_A
YangCell,DRXTCHOL,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCHOL,1178,DRXTOT,DNAM_A
LinAge,DRXTCHOL,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCHOL,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCHOL,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCHOL,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCHOL,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCHOL,1178,DRXTOT,DNAM_A
Nkcell,DRXTCHOL,1178,DRXTOT,DNAM_A
Bcell,DRXTCHOL,1178,DRXTOT,DNAM_A
MonoPP,DRXTCHOL,1178,DRXTOT,DNAM_A
NeuPP,DRXTCHOL,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCHOL,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTCOPP,1178,DRXTOT,DNAM_A
HorvathAge,DRXTCOPP,1178,DRXTOT,DNAM_A
HannumAge,DRXTCOPP,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTCOPP,1178,DRXTOT,DNAM_A
PhenoAge,DRXTCOPP,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTCOPP,1178,DRXTOT,DNAM_A
B2MMort,DRXTCOPP,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTCOPP,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTCOPP,1178,DRXTOT,DNAM_A
ADMMort,DRXTCOPP,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTCOPP,1178,DRXTOT,DNAM_A
LeptinMort,DRXTCOPP,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTCOPP,1178,DRXTOT,DNAM_A
CRPMort,DRXTCOPP,1178,DRXTOT,DNAM_A
logA1CMort,DRXTCOPP,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTCOPP,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTCOPP,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTCOPP,1178,DRXTOT,DNAM_A
YangCell,DRXTCOPP,1178,DRXTOT,DNAM_A
ZhangAge,DRXTCOPP,1178,DRXTOT,DNAM_A
LinAge,DRXTCOPP,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTCOPP,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTCOPP,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTCOPP,1178,DRXTOT,DNAM_A
CD8TPP,DRXTCOPP,1178,DRXTOT,DNAM_A
CD4TPP,DRXTCOPP,1178,DRXTOT,DNAM_A
Nkcell,DRXTCOPP,1178,DRXTOT,DNAM_A
Bcell,DRXTCOPP,1178,DRXTOT,DNAM_A
MonoPP,DRXTCOPP,1178,DRXTOT,DNAM_A
NeuPP,DRXTCOPP,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTCOPP,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTFIBE,1178,DRXTOT,DNAM_A
HorvathAge,DRXTFIBE,1178,DRXTOT,DNAM_A
HannumAge,DRXTFIBE,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTFIBE,1178,DRXTOT,DNAM_A
PhenoAge,DRXTFIBE,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTFIBE,1178,DRXTOT,DNAM_A
B2MMort,DRXTFIBE,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTFIBE,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTFIBE,1178,DRXTOT,DNAM_A
ADMMort,DRXTFIBE,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTFIBE,1178,DRXTOT,DNAM_A
LeptinMort,DRXTFIBE,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTFIBE,1178,DRXTOT,DNAM_A
CRPMort,DRXTFIBE,1178,DRXTOT,DNAM_A
logA1CMort,DRXTFIBE,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTFIBE,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTFIBE,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTFIBE,1178,DRXTOT,DNAM_A
YangCell,DRXTFIBE,1178,DRXTOT,DNAM_A
ZhangAge,DRXTFIBE,1178,DRXTOT,DNAM_A
LinAge,DRXTFIBE,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTFIBE,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTFIBE,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTFIBE,1178,DRXTOT,DNAM_A
CD8TPP,DRXTFIBE,1178,DRXTOT,DNAM_A
CD4TPP,DRXTFIBE,1178,DRXTOT,DNAM_A
Nkcell,DRXTFIBE,1178,DRXTOT,DNAM_A
Bcell,DRXTFIBE,1178,DRXTOT,DNAM_A
MonoPP,DRXTFIBE,1178,DRXTOT,DNAM_A
NeuPP,DRXTFIBE,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTFIBE,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTFOLA,1178,DRXTOT,DNAM_A
HorvathAge,DRXTFOLA,1178,DRXTOT,DNAM_A
HannumAge,DRXTFOLA,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTFOLA,1178,DRXTOT,DNAM_A
PhenoAge,DRXTFOLA,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTFOLA,1178,DRXTOT,DNAM_A
B2MMort,DRXTFOLA,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTFOLA,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTFOLA,1178,DRXTOT,DNAM_A
ADMMort,DRXTFOLA,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTFOLA,1178,DRXTOT,DNAM_A
LeptinMort,DRXTFOLA,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTFOLA,1178,DRXTOT,DNAM_A
CRPMort,DRXTFOLA,1178,DRXTOT,DNAM_A
logA1CMort,DRXTFOLA,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTFOLA,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTFOLA,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTFOLA,1178,DRXTOT,DNAM_A
YangCell,DRXTFOLA,1178,DRXTOT,DNAM_A
ZhangAge,DRXTFOLA,1178,DRXTOT,DNAM_A
LinAge,DRXTFOLA,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTFOLA,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTFOLA,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTFOLA,1178,DRXTOT,DNAM_A
CD8TPP,DRXTFOLA,1178,DRXTOT,DNAM_A
CD4TPP,DRXTFOLA,1178,DRXTOT,DNAM_A
Nkcell,DRXTFOLA,1178,DRXTOT,DNAM_A
Bcell,DRXTFOLA,1178,DRXTOT,DNAM_A
MonoPP,DRXTFOLA,1178,DRXTOT,DNAM_A
NeuPP,DRXTFOLA,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTFOLA,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTIRON,1178,DRXTOT,DNAM_A
HorvathAge,DRXTIRON,1178,DRXTOT,DNAM_A
HannumAge,DRXTIRON,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTIRON,1178,DRXTOT,DNAM_A
PhenoAge,DRXTIRON,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTIRON,1178,DRXTOT,DNAM_A
B2MMort,DRXTIRON,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTIRON,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTIRON,1178,DRXTOT,DNAM_A
ADMMort,DRXTIRON,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTIRON,1178,DRXTOT,DNAM_A
LeptinMort,DRXTIRON,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTIRON,1178,DRXTOT,DNAM_A
CRPMort,DRXTIRON,1178,DRXTOT,DNAM_A
logA1CMort,DRXTIRON,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTIRON,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTIRON,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTIRON,1178,DRXTOT,DNAM_A
YangCell,DRXTIRON,1178,DRXTOT,DNAM_A
ZhangAge,DRXTIRON,1178,DRXTOT,DNAM_A
LinAge,DRXTIRON,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTIRON,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTIRON,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTIRON,1178,DRXTOT,DNAM_A
CD8TPP,DRXTIRON,1178,DRXTOT,DNAM_A
CD4TPP,DRXTIRON,1178,DRXTOT,DNAM_A
Nkcell,DRXTIRON,1178,DRXTOT,DNAM_A
Bcell,DRXTIRON,1178,DRXTOT,DNAM_A
MonoPP,DRXTIRON,1178,DRXTOT,DNAM_A
NeuPP,DRXTIRON,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTIRON,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTKCAL,1178,DRXTOT,DNAM_A
HorvathAge,DRXTKCAL,1178,DRXTOT,DNAM_A
HannumAge,DRXTKCAL,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTKCAL,1178,DRXTOT,DNAM_A
PhenoAge,DRXTKCAL,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTKCAL,1178,DRXTOT,DNAM_A
B2MMort,DRXTKCAL,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTKCAL,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTKCAL,1178,DRXTOT,DNAM_A
ADMMort,DRXTKCAL,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTKCAL,1178,DRXTOT,DNAM_A
LeptinMort,DRXTKCAL,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTKCAL,1178,DRXTOT,DNAM_A
CRPMort,DRXTKCAL,1178,DRXTOT,DNAM_A
logA1CMort,DRXTKCAL,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTKCAL,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTKCAL,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTKCAL,1178,DRXTOT,DNAM_A
YangCell,DRXTKCAL,1178,DRXTOT,DNAM_A
ZhangAge,DRXTKCAL,1178,DRXTOT,DNAM_A
LinAge,DRXTKCAL,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTKCAL,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTKCAL,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTKCAL,1178,DRXTOT,DNAM_A
CD8TPP,DRXTKCAL,1178,DRXTOT,DNAM_A
CD4TPP,DRXTKCAL,1178,DRXTOT,DNAM_A
Nkcell,DRXTKCAL,1178,DRXTOT,DNAM_A
Bcell,DRXTKCAL,1178,DRXTOT,DNAM_A
MonoPP,DRXTKCAL,1178,DRXTOT,DNAM_A
NeuPP,DRXTKCAL,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTKCAL,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTM161,1178,DRXTOT,DNAM_A
HorvathAge,DRXTM161,1178,DRXTOT,DNAM_A
HannumAge,DRXTM161,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTM161,1178,DRXTOT,DNAM_A
PhenoAge,DRXTM161,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTM161,1178,DRXTOT,DNAM_A
B2MMort,DRXTM161,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTM161,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTM161,1178,DRXTOT,DNAM_A
ADMMort,DRXTM161,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTM161,1178,DRXTOT,DNAM_A
LeptinMort,DRXTM161,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTM161,1178,DRXTOT,DNAM_A
CRPMort,DRXTM161,1178,DRXTOT,DNAM_A
logA1CMort,DRXTM161,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTM161,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTM161,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTM161,1178,DRXTOT,DNAM_A
YangCell,DRXTM161,1178,DRXTOT,DNAM_A
ZhangAge,DRXTM161,1178,DRXTOT,DNAM_A
LinAge,DRXTM161,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTM161,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTM161,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTM161,1178,DRXTOT,DNAM_A
CD8TPP,DRXTM161,1178,DRXTOT,DNAM_A
CD4TPP,DRXTM161,1178,DRXTOT,DNAM_A
Nkcell,DRXTM161,1178,DRXTOT,DNAM_A
Bcell,DRXTM161,1178,DRXTOT,DNAM_A
MonoPP,DRXTM161,1178,DRXTOT,DNAM_A
NeuPP,DRXTM161,1178,DRXTOT,DNAM_A
WTDN4YR,DRXTM161,2078,DRXTOT,DNAM_A
XY_Estimation,DRXTM181,1178,DRXTOT,DNAM_A
HorvathAge,DRXTM181,1178,DRXTOT,DNAM_A
HannumAge,DRXTM181,1178,DRXTOT,DNAM_A
SkinBloodAge,DRXTM181,1178,DRXTOT,DNAM_A
PhenoAge,DRXTM181,1178,DRXTOT,DNAM_A
GDF15Mort,DRXTM181,1178,DRXTOT,DNAM_A
B2MMort,DRXTM181,1178,DRXTOT,DNAM_A
CystatinCMort,DRXTM181,1178,DRXTOT,DNAM_A
TIMP1Mort,DRXTM181,1178,DRXTOT,DNAM_A
ADMMort,DRXTM181,1178,DRXTOT,DNAM_A
PAI1Mort,DRXTM181,1178,DRXTOT,DNAM_A
LeptinMort,DRXTM181,1178,DRXTOT,DNAM_A
PACKYRSMort,DRXTM181,1178,DRXTOT,DNAM_A
CRPMort,DRXTM181,1178,DRXTOT,DNAM_A
logA1CMort,DRXTM181,1178,DRXTOT,DNAM_A
GrimAgeMort,DRXTM181,1178,DRXTOT,DNAM_A
GrimAge2Mort,DRXTM181,1178,DRXTOT,DNAM_A
HorvathTelo,DRXTM181,1178,DRXTOT,DNAM_A
YangCell,DRXTM181,1178,DRXTOT,DNAM_A
ZhangAge,DRXTM181,1178,DRXTOT,DNAM_A
LinAge,DRXTM181,1178,DRXTOT,DNAM_A
WeidnerAge,DRXTM181,1178,DRXTOT,DNAM_A
VidalBraloAge,DRXTM181,1178,DRXTOT,DNAM_A
DunedinPoAm,DRXTM181,1178,DRXTOT,DNAM_A
