Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,epcf
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TATOA,Added alpha-tocopherol (Vitamin E) (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TATOC,Vitamin E as alpha-tocopherol (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TB12A,Added vitamin B12 (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TBCAR,Beta-carotene (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCAFF,Caffeine (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCALC,Calcium (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCARB,Carbohydrate (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCHOL,Cholesterol (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCOPP,Copper (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TCRYP,Beta-cryptoxanthin (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TFA,Folic acid (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TFDFE,Folate as dietary folate equivalents (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TFF,Food folate (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TFIBE,Dietary fiber (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TFOLA,Total Folate (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TFOLA,Total folate (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TIRON,Iron (mg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TKCAL,Energy (kcal),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TLYCO,Lycopene (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TLZ,Lutein + zeaxanthin (mcg),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TM161,MFA 16:1 (Hexadecenoic) (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TM181,MFA 18:1 (Octadecenoic) (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_G,"Dietary Interview - Total Nutrient Intakes, First Day",2011,2012,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_H,"Dietary Interview - Total Nutrient Intakes, First Day",2013,2014,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_I,"Dietary Interview - Total Nutrient Intakes, First Day",2015,2016,Dietary,None,e
DR1TM201,MFA 20:1 (Eicosenoic) (gm),DR1TOT_J,"Dietary Interview - Total Nutrient Intakes, First Day",2017,2018,Dietary,None,e
DR1TM221,MFA 22:1 (Docosenoic) (gm),DR1TOT_C,"Dietary Interview - Total Nutrient Intakes, First Day",2003,2004,Dietary,None,e
DR1TM221,MFA 22:1 (Docosenoic) (gm),DR1TOT_D,"Dietary Interview - Total Nutrient Intakes, First Day",2005,2006,Dietary,None,e
DR1TM221,MFA 22:1 (Docosenoic) (gm),DR1TOT_E,"Dietary Interview - Total Nutrient Intakes, First Day",2007,2008,Dietary,None,e
DR1TM221,MFA 22:1 (Docosenoic) (gm),DR1TOT_F,"Dietary Interview - Total Nutrient Intakes, First Day",2009,2010,Dietary,None,e
