Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,Begin.Year,EndYear,Component,Use.Constraints,series,epcf,varname,category,subcategory
RIDEXPRG,Pregnancy status at the time of MEC exam.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDEXPRG,NA,NA
RIDPREG,Pregnancy status variable based on all source data. NOTE: This is the previ,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDPREG,NA,NA
RIDRETH1,Recode of reported race and ethnicity information.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDRETH1,NA,NA
RIDRETH2,Linked NH3 Race and Ethnicity Recode.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDRETH2,NA,NA
RIDSTATR,Interview and Examination Status of the Sample Person.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,RIDSTATR,NA,NA
SDDSRVYR,Data Release Number.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,SDDSRVYR,NA,NA
SDJ1REPN,Jack Knife Replicate Number,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,SDJ1REPN,NA,NA
SDMVPSU,Masked Variance Unit Pseudo-PSU variable for variance estimation,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,SDMVPSU,NA,NA
SDMVSTRA,Masked Variance Unit Pseudo-Stratum variable for variance estimation,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,SDMVSTRA,NA,NA
SEQN,Respondent sequence number.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,SEQN,NA,NA
WTINT2YR,Interviewed Sample Persons.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTINT2YR,NA,NA
WTINT4YR,Interviewed Sample Persons. Used for 1999-2002 data collection years only.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTINT4YR,NA,NA
WTIREP01,Interview Weight Jack Knife Replicate 01,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP01,NA,NA
WTIREP02,Interview Weight Jack Knife Replicate 02,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP02,NA,NA
WTIREP03,Interview Weight Jack Knife Replicate 03,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP03,NA,NA
WTIREP04,Interview Weight Jack Knife Replicate 04,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP04,NA,NA
WTIREP05,Interview Weight Jack Knife Replicate 05,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP05,NA,NA
WTIREP06,Interview Weight Jack Knife Replicate 06,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP06,NA,NA
WTIREP07,Interview Weight Jack Knife Replicate 07,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP07,NA,NA
WTIREP08,Interview Weight Jack Knife Replicate 08,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP08,NA,NA
WTIREP09,Interview Weight Jack Knife Replicate 09,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP09,NA,NA
WTIREP10,Interview Weight Jack Knife Replicate 10,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP10,NA,NA
WTIREP11,Interview Weight Jack Knife Replicate 11,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP11,NA,NA
WTIREP12,Interview Weight Jack Knife Replicate 12,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP12,NA,NA
WTIREP13,Interview Weight Jack Knife Replicate 13,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP13,NA,NA
WTIREP14,Interview Weight Jack Knife Replicate 14,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP14,NA,NA
WTIREP15,Interview Weight Jack Knife Replicate 15,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP15,NA,NA
WTIREP16,Interview Weight Jack Knife Replicate 16,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP16,NA,NA
WTIREP17,Interview Weight Jack Knife Replicate 17,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP17,NA,NA
WTIREP18,Interview Weight Jack Knife Replicate 18,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP18,NA,NA
WTIREP19,Interview Weight Jack Knife Replicate 19,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP19,NA,NA
WTIREP20,Interview Weight Jack Knife Replicate 20,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP20,NA,NA
WTIREP21,Interview Weight Jack Knife Replicate 21,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP21,NA,NA
WTIREP22,Interview Weight Jack Knife Replicate 22,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP22,NA,NA
WTIREP23,Interview Weight Jack Knife Replicate 23,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP23,NA,NA
WTIREP24,Interview Weight Jack Knife Replicate 24,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP24,NA,NA
WTIREP25,Interview Weight Jack Knife Replicate 25,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP25,NA,NA
WTIREP26,Interview Weight Jack Knife Replicate 26,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP26,NA,NA
WTIREP27,Interview Weight Jack Knife Replicate 27,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP27,NA,NA
WTIREP28,Interview Weight Jack Knife Replicate 28,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP28,NA,NA
WTIREP29,Interview Weight Jack Knife Replicate 29,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP29,NA,NA
WTIREP30,Interview Weight Jack Knife Replicate 30,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP30,NA,NA
WTIREP31,Interview Weight Jack Knife Replicate 31,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP31,NA,NA
WTIREP32,Interview Weight Jack Knife Replicate 32,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP32,NA,NA
WTIREP33,Interview Weight Jack Knife Replicate 33,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP33,NA,NA
WTIREP34,Interview Weight Jack Knife Replicate 34,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP34,NA,NA
WTIREP35,Interview Weight Jack Knife Replicate 35,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP35,NA,NA
WTIREP36,Interview Weight Jack Knife Replicate 36,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP36,NA,NA
WTIREP37,Interview Weight Jack Knife Replicate 37,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP37,NA,NA
WTIREP38,Interview Weight Jack Knife Replicate 38,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP38,NA,NA
WTIREP39,Interview Weight Jack Knife Replicate 39,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP39,NA,NA
WTIREP40,Interview Weight Jack Knife Replicate 40,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP40,NA,NA
WTIREP41,Interview Weight Jack Knife Replicate 41,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP41,NA,NA
WTIREP42,Interview Weight Jack Knife Replicate 42,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP42,NA,NA
WTIREP43,Interview Weight Jack Knife Replicate 43,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP43,NA,NA
WTIREP44,Interview Weight Jack Knife Replicate 44,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP44,NA,NA
WTIREP45,Interview Weight Jack Knife Replicate 45,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP45,NA,NA
WTIREP46,Interview Weight Jack Knife Replicate 46,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP46,NA,NA
WTIREP47,Interview Weight Jack Knife Replicate 47,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP47,NA,NA
WTIREP48,Interview Weight Jack Knife Replicate 48,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP48,NA,NA
WTIREP49,Interview Weight Jack Knife Replicate 49,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP49,NA,NA
WTIREP50,Interview Weight Jack Knife Replicate 50,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP50,NA,NA
WTIREP51,Interview Weight Jack Knife Replicate 51,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP51,NA,NA
WTIREP52,Interview Weight Jack Knife Replicate 52,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTIREP52,NA,NA
WTMEC2YR,Both Interviewed and MEC Examined Sample Persons.,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMEC2YR,NA,NA
WTMEC4YR,Both Interviewed and MEC Examined Sample Persons. Used for 1999-2002 data c,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMEC4YR,NA,NA
WTMREP01,MEC Exam Weight Jack Knife Replicate 01,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP01,NA,NA
WTMREP02,MEC Exam Weight Jack Knife Replicate 02,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP02,NA,NA
WTMREP03,MEC Exam Weight Jack Knife Replicate 03,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP03,NA,NA
WTMREP04,MEC Exam Weight Jack Knife Replicate 04,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP04,NA,NA
WTMREP05,MEC Exam Weight Jack Knife Replicate 05,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP05,NA,NA
WTMREP06,MEC Exam Weight Jack Knife Replicate 06,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP06,NA,NA
WTMREP07,MEC Exam Weight Jack Knife Replicate 07,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP07,NA,NA
WTMREP08,MEC Exam Weight Jack Knife Replicate 08,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP08,NA,NA
WTMREP09,MEC Exam Weight Jack Knife Replicate 09,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP09,NA,NA
WTMREP10,MEC Exam Weight Jack Knife Replicate 10,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP10,NA,NA
WTMREP11,MEC Exam Weight Jack Knife Replicate 11,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP11,NA,NA
WTMREP12,MEC Exam Weight Jack Knife Replicate 12,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP12,NA,NA
WTMREP13,MEC Exam Weight Jack Knife Replicate 13,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP13,NA,NA
WTMREP14,MEC Exam Weight Jack Knife Replicate 14,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP14,NA,NA
WTMREP15,MEC Exam Weight Jack Knife Replicate 15,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP15,NA,NA
WTMREP16,MEC Exam Weight Jack Knife Replicate 16,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP16,NA,NA
WTMREP17,MEC Exam Weight Jack Knife Replicate 17,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP17,NA,NA
WTMREP18,MEC Exam Weight Jack Knife Replicate 18,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP18,NA,NA
WTMREP19,MEC Exam Weight Jack Knife Replicate 19,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP19,NA,NA
WTMREP20,MEC Exam Weight Jack Knife Replicate 20,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP20,NA,NA
WTMREP21,MEC Exam Weight Jack Knife Replicate 21,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP21,NA,NA
WTMREP22,MEC Exam Weight Jack Knife Replicate 22,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP22,NA,NA
WTMREP23,MEC Exam Weight Jack Knife Replicate 23,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP23,NA,NA
WTMREP24,MEC Exam Weight Jack Knife Replicate 24,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP24,NA,NA
WTMREP25,MEC Exam Weight Jack Knife Replicate 25,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP25,NA,NA
WTMREP26,MEC Exam Weight Jack Knife Replicate 26,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP26,NA,NA
WTMREP27,MEC Exam Weight Jack Knife Replicate 27,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP27,NA,NA
WTMREP28,MEC Exam Weight Jack Knife Replicate 28,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP28,NA,NA
WTMREP29,MEC Exam Weight Jack Knife Replicate 29,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP29,NA,NA
WTMREP30,MEC Exam Weight Jack Knife Replicate 30,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP30,NA,NA
WTMREP31,MEC Exam Weight Jack Knife Replicate 31,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP31,NA,NA
WTMREP32,MEC Exam Weight Jack Knife Replicate 32,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP32,NA,NA
WTMREP33,MEC Exam Weight Jack Knife Replicate 33,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP33,NA,NA
WTMREP34,MEC Exam Weight Jack Knife Replicate 34,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP34,NA,NA
WTMREP35,MEC Exam Weight Jack Knife Replicate 35,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP35,NA,NA
WTMREP36,MEC Exam Weight Jack Knife Replicate 36,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP36,NA,NA
WTMREP37,MEC Exam Weight Jack Knife Replicate 37,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP37,NA,NA
WTMREP38,MEC Exam Weight Jack Knife Replicate 38,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP38,NA,NA
WTMREP39,MEC Exam Weight Jack Knife Replicate 39,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP39,NA,NA
WTMREP40,MEC Exam Weight Jack Knife Replicate 40,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP40,NA,NA
WTMREP41,MEC Exam Weight Jack Knife Replicate 41,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP41,NA,NA
WTMREP42,MEC Exam Weight Jack Knife Replicate 42,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP42,NA,NA
WTMREP43,MEC Exam Weight Jack Knife Replicate 43,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP43,NA,NA
WTMREP44,MEC Exam Weight Jack Knife Replicate 44,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP44,NA,NA
WTMREP45,MEC Exam Weight Jack Knife Replicate 45,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP45,NA,NA
WTMREP46,MEC Exam Weight Jack Knife Replicate 46,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP46,NA,NA
WTMREP47,MEC Exam Weight Jack Knife Replicate 47,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP47,NA,NA
WTMREP48,MEC Exam Weight Jack Knife Replicate 48,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP48,NA,NA
WTMREP49,MEC Exam Weight Jack Knife Replicate 49,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP49,NA,NA
WTMREP50,MEC Exam Weight Jack Knife Replicate 50,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP50,NA,NA
WTMREP51,MEC Exam Weight Jack Knife Replicate 51,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP51,NA,NA
WTMREP52,MEC Exam Weight Jack Knife Replicate 52,DEMO,Demographic Variables & Sample Weights,1999,2000,Demographics,None,A,c,WTMREP52,NA,NA
DMDBORN,In what country {were you/was SP} born?,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDBORN,NA,NA
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizens,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDCITZN,NA,NA
DMDEDUC,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDEDUC,NA,NA
DMDEDUC2,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDEDUC2,NA,NA
DMDEDUC3,(SP Interview Version) What is the highest grade or level of school {you ha,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDEDUC3,NA,NA
DMDHHSIZ,Total number of people in the Household,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHHSIZ,NA,NA
DMDHRAGE,Age in years of the household reference person at the time of HH screening.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHRAGE,NA,NA
DMDHRBRN,In what country {were you/was NON-SP Head} born?,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHRBRN,NA,NA
DMDHREDU,What is the highest grade or level of school {you have/NON_SP HEAD has} rec,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHREDU,NA,NA
DMDHRGND,Gender of the household reference person,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHRGND,NA,NA
DMDHRMAR,Marital Status of household reference person,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHRMAR,NA,NA
DMDHSEDU,What is the highest grade or level of school {you have/NON-SP SPOUSE has co,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDHSEDU,NA,NA
DMDMARTL,Marital Status,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDMARTL,NA,NA
DMDSCHOL,{Are you/Is SP} now . . .,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDSCHOL,NA,NA
DMDYRSUS,Length of time SP has been in the US.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMDYRSUS,NA,NA
DMQMILIT,Did {you/SP} ever serve in the Armed Forces of the United States?,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,DMQMILIT,NA,NA
INDFMINC,Total family income (reported as a range value in dollars),DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,INDFMINC,NA,NA
INDFMPIR,Poverty income ratio (PIR) - a ratio of family income to poverty threshold,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,INDFMPIR,NA,NA
INDHHINC,Total household income (reported as a range value in dollars),DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,INDHHINC,NA,NA
RIAGENDR,Gender of the sample person,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIAGENDR,pollutant,brominated
RIDAGEEX,Best age in months at date of examination for individuals under 85 years of,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDAGEEX,NA,NA
RIDAGEMN,Best age in months at date of screening for individuals under 85 years of a,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDAGEMN,NA,NA
RIDAGEYR,Best age in years of the sample person at time of HH screening.  Individual,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDAGEYR,NA,NA
RIDEXMON,Six month time period when the examination was performed - two categories:,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDEXMON,NA,NA
RIDEXPRG,Pregnancy status at the time of MEC exam.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDEXPRG,NA,NA
RIDPREG,Pregnancy status variable based on all source data. NOTE: This is the previ,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDPREG,NA,NA
RIDRETH1,Recode of reported race and ethnicity information.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDRETH1,NA,NA
RIDRETH2,Linked NH3 Race and Ethnicity Recode.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDRETH2,NA,NA
RIDSTATR,Interview and Examination Status of the Sample Person.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,RIDSTATR,NA,NA
SDDSRVYR,Data Release Number.,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,SDDSRVYR,NA,NA
SDMVPSU,Masked Variance Unit Pseudo-PSU variable for variance estimation,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,SDMVPSU,NA,NA
SDMVSTRA,Masked Variance Unit Pseudo-Stratum variable for variance estimation,DEMO_B,Demographic Variables & Sample Weights,2001,2002,Demographics,None,B,c,SDMVSTRA,NA,NA
