Variable.Name,Variable.Description,Data.File.Name,Data.File.Description,n,select
AGQ110D,In which season did this nose problem occur?,AGQ_D,Allergy,1,
AGQ120,"During the past 12 months, did a doctor or other health professional tell {",AGQ_D,Allergy,1,
AGQ130,{Have you/Has SP} ever had an itchy rash which was coming and going for at ,AGQ_D,Allergy,1,
AGQ140,{Have you/Has SP} had this itchy rash at any time in the last 12 months?,AGQ_D,Allergy,1,
AGQ150,Has this rash cleared up completely at any time during the last 12 months?,AGQ_D,Allergy,1,
AGQ160,Has this itchy rash at any time affected any of the following places:  the ,AGQ_D,Allergy,1,
AGQ180,Has a doctor or other health professional ever told {you/SP} that {you have,AGQ_D,Allergy,1,
LBDE72LC,Mouse IgE comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDE74LC,Rat IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDF13LC,Peanut IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDF24LC,Shrimp IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDID1LC,D. Pteronyssin IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDID2LC,D. Farinae IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIE1LC,Cat IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIE5LC,Dog IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIF1LC,Egg IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIF2LC,Milk IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIG2LC,Bermuda grass IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIG5LC,Rye grass IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIGELC,Serum total IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDII6LC,Cockroach IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIM3LC,Aspergillus IgE comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIM6LC,Alternaria IgE comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIT3LC,Birch IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIT7LC,Oak IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDIW1LC,Ragweed IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBDW11LC,Thistle IgE antibody comment code,AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,
LBXE72,"Serum IgE antibody to mouse urine proteins, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXE74,"Serum IgE antibody to rat urine proteins, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXF13,"Serum IgE antibody to Peanut, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXF24,"Serum IgE antibody to Shrimp, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXID1,"Serum IgE antibody to Dermatophagoides Pteronyssinus, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXID2,"Serum IgE antibody to Dermatophagoides Farinae, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIE1,"Serum IgE antibody to Cat Epithelium and Dander, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIE5,"Serum IgE antibody to Dog Dander, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIF1,"Serum IgE antibody to Egg , result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIF2,"Serum IgE antibody to Milk , result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIG2,"Serum IgE antibody to Bermuda Grass, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIG5,"Serum IgE antibody to Rye Grass, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIGE,"Serum Total IgE antibody, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXII6,"Serum IgE antibody to German Cockroach, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIM3,"Serum IgE antibody to Aspergillus Fumigatus, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIM6,"Serum IgE antibody to Alternaria Alternata, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIT3,"Serum IgE antibody to Birch Tree, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIT7,"Serum IgE antibody to White Oak, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXIW1,"Serum IgE antibody to Common Ragweed, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
LBXW11,"Serum IgE antibody to Russian Thistle, result (kU/L)",AL_IGE_D,Allergen Specific IgE(s) & Total IgE - Serum,1,1
URXUCR,"Creatinine, urine (mg/dL)",ALB_CR_D,Albumin & Creatinine - Urine,107,1
URXUMA,"Albumin, urine (ug/mL)",ALB_CR_D,Albumin & Creatinine - Urine,10,1
URXCRS,"Creatinine, urine (umol/L)",ALB_CR_D,Albumin & Creatinine - Urine,7,
URXUMS,"Albumin, urine (mg/L)",ALB_CR_D,Albumin & Creatinine - Urine,7,
URDACT,First albumin creatinine ratio (mg/g),ALB_CR_F,Albumin & Creatinine - Urine,5,
URDACT2,Second albumin creatinine ratio (mg/g),ALB_CR_F,Albumin & Creatinine - Urine,1,
URDUCR2S,"Second creatinine, urine (umol/L)",ALB_CR_F,Albumin & Creatinine - Urine,1,
URDUMA2S,"Second albumin, urine (mg/L)",ALB_CR_F,Albumin & Creatinine - Urine,1,
URXUCR2,Second creatinine (mg/dL),ALB_CR_F,Albumin & Creatinine - Urine,1,
URXUMA2,Second albumin (ug/mL),ALB_CR_F,Albumin & Creatinine - Urine,1,
URDUCRLC,"Creatinine, urine comment code",ALB_CR_I,Albumin & Creatinine - Urine,2,
URDUMALC,"Albumin, urine comment code",ALB_CR_I,Albumin & Creatinine - Urine,2,
LBD10ALC,Decanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD3ALC,Propanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD4ALC,Butyraldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD5ALC,Pentanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD6ALC,Hexanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD7ALC,Heptanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD8ALC,Octanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBD9ALC,Nonanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBDBZLC,Benzaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBDCRLC,Crotonaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBDI5ALC,Isopentanaldehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBDTLALC,o-Tolualdehyde Comment Code,ALD_H,Aldehydes - Serum,2,
LBX10AL,Decanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX3AL,Propanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX4AL,Butyraldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX5AL,Pentanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX6AL,Hexanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX7AL,Heptanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX8AL,Octanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBX9AL,,ALD_H,Aldehydes - Serum,2,1
LBXBZAL,Benzaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBXCRAL,Crotonaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBXI5AL,Isopentanaldehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
LBXTLAL,o-Tolualdehyde (ng/mL),ALD_H,Aldehydes - Serum,2,1
WTALD2YR,Two Year Aldehyde Subsample Weights,ALD_H,Aldehydes - Serum,1,
WTALDS2Y,Two Year Aldehyde Smoking Weights,ALDS_H,Aldehydes - Serum - Special Sample,1,
LBDACRLC,Acrylamide comment code,AMDGDS_H,Acrylamide & Glycidamide - Special Sample,5,
LBDGLYLC,Glycidamide comment code,AMDGDS_H,Acrylamide & Glycidamide - Special Sample,5,
LBXACR,Acrylamide (pmol/g Hb),AMDGDS_H,Acrylamide & Glycidamide - Special Sample,5,1
LBXGLY,Glycideamide (pmol/g Hb),AMDGDS_H,Acrylamide & Glycidamide - Special Sample,5,1
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,ApoB_E,Apolipoprotein B,26,
LBDAPBSI,Apolipoprotein (B) (g/L),ApoB_E,Apolipoprotein B,6,
LBXAPB,Apolipoprotein (B) (mg/dL),ApoB_E,Apolipoprotein B,6,1
PAQ685,"During the past 12 months, when {you thought/SP thought} or {were/was} info",AQQ_E,Air Quality,2,
PAQ690a,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690b,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690c,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690d,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690e,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690f,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690g,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690h,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690i,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690j,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
PAQ690k,,AQQ_E,Air Quality,2,
PAQ690o,Which of these {did you/did SP} do differently?,AQQ_E,Air Quality,2,
ARD026A,"How often did {you/SP} get NECK pain, aching or stiffness? Did {you/SP} hav",ARQ_F,Arthritis,1,
ARD026B,"How often did {you/SP} get UPPER BACK pain, aching or stiffness? Did {you/S",ARQ_F,Arthritis,1,
ARD026C,"How often did {you/SP} get MID BACK pain, aching or stiffness? Did {you/SP}",ARQ_F,Arthritis,1,
ARD026D,"How often did {you/SP} get LOW BACK pain, aching or stiffness? Did {you/SP}",ARQ_F,Arthritis,1,
ARD026E,"How often did {you/SP} get BUTTOCKS pain, aching or stiffness? Did {you/SP}",ARQ_F,Arthritis,1,
ARD026F,"How often did {you/SP} get HIP pain, aching or stiffness? Did {you/SP} have",ARQ_F,Arthritis,1,
ARD026G,"How often did {you/SP} get RIB CAGE pain, aching or stiffness? Did {you/SP}",ARQ_F,Arthritis,1,
ARD118AE,"Was the cause of the pain at Location A: injury, sprain, strain or fracture",ARQ_F,Arthritis,1,
ARD118AO,Was the cause of the pain at Location A- all other causes,ARQ_F,Arthritis,1,
ARD118BE,"Was the cause of the pain at Location B: injury, sprain, strain",ARQ_F,Arthritis,1,
ARD118BO,Was the cause of the pain at  Location B: all other causes,ARQ_F,Arthritis,1,
ARD125A,"Next are some questions about conditions that affect the eyes, the intestin",ARQ_F,Arthritis,1,
ARD130A,"Did {you/SP} have pain and sensitivity to light in just one eye at a time, ",ARQ_F,Arthritis,1,
ARQ010,"These next questions are about pain in the back, neck or hip area that {you",ARQ_F,Arthritis,1,
ARQ020A,Pain Diagram Area 1: Neck,ARQ_F,Arthritis,1,
ARQ020B,Pain Diagram Area 2: Upper Back,ARQ_F,Arthritis,1,
ARQ020C,Pain Diagram Area 3: Mid Back,ARQ_F,Arthritis,1,
ARQ020D,Pain Diagram Area 4: Low Back,ARQ_F,Arthritis,1,
ARQ020E,Pain Diagram Area 5: Buttocks,ARQ_F,Arthritis,1,
ARQ020F,Pain Diagram Area 6: Anterior Hips,ARQ_F,Arthritis,1,
ARQ020G,Pain Diagram Area 7: Sternum and Anterior Rib Cage,ARQ_F,Arthritis,1,
ARQ021AA,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AB,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AC,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AD,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AE,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AF,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021AG,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BA,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BB,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BC,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BD,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BE,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BF,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021BG,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CA,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CB,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CC,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CD,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CE,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CF,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ021CG,Next we are going to ask you a series of questions about the location{s} yo,ARQ_F,Arthritis,1,
ARQ022A,"How old {were you/was SP} when {you/s/he} first had NECK pain, aching or st",ARQ_F,Arthritis,1,
ARQ022AA,"Do {you/SP} still have NECK pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AB,"Do {you/SP} still have UPPER BACK pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AC,"Do {you/SP} still have MID BACK pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AD,"Do {you/SP} still have LOW BACK pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AE,"Do {you/SP} still have BUTTOCKS pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AF,"Do {you/SP} still have HIP pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022AG,"Do {you/SP} still have RIB CAGE pain, aching or stiffness?",ARQ_F,Arthritis,1,
ARQ022B,"How old {were you/was SP} when {you/s/he} first had UPPER BACK pain, aching",ARQ_F,Arthritis,1,
ARQ022C,"How old {were you/was SP} when {you/s/he} first had MID BACK pain, aching o",ARQ_F,Arthritis,1,
ARQ022D,"How old {were you/was SP} when {you/s/he} first had LOW BACK pain, aching o",ARQ_F,Arthritis,1,
ARQ022E,"How old {were you/was SP} when {you/s/he} first had BUTTOCKS pain, aching o",ARQ_F,Arthritis,1,
ARQ022F,"How old {were you/was SP} when {you/s/he} first had HIP pain, aching or sti",ARQ_F,Arthritis,1,
ARQ022G,"How old {were you/was SP} when {you/s/he} first had RIB CAGE pain, aching o",ARQ_F,Arthritis,1,
ARQ023GA,"When did {you/s/he} last have NECK pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GB,"When did {you/s/he} last have UPPER BACK pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GC,"When did {you/s/he} last have MID BACK pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GD,"When did {you/s/he} last have LOW BACK pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GE,"When did {you/s/he} last have BUTTOCKS pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GF,"When did {you/s/he} last have HIP pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023GG,"When did {you/s/he} last have RIB CAGE pain, aching, or stiffness?",ARQ_F,Arthritis,1,
ARQ023QA,"How old {were you/was SP} when {you/s/he} last had NECK pain, aching, or st",ARQ_F,Arthritis,1,
ARQ023QB,"How old {were you/was SP} when {you/s/he} last had UPPER BACK pain, aching,",ARQ_F,Arthritis,1,
ARQ023QC,"How old {were you/was SP} when {you/s/he} last had MID BACK pain, aching, o",ARQ_F,Arthritis,1,
ARQ023QD,"How old {were you/was SP} when {you/s/he} last had LOW BACK pain, aching, o",ARQ_F,Arthritis,1,
ARQ023QE,"How old {were you/was SP} when {you/s/he} last had BUTTOCK pain, aching, or",ARQ_F,Arthritis,1,
ARQ023QF,"How old {were you/was SP} when {you/s/he} last had HIP pain, aching, or sti",ARQ_F,Arthritis,1,
ARQ023QG,"How old {were you/was SP} when {you/s/he} last had RIB CAGE pain, aching, o",ARQ_F,Arthritis,1,
ARQ024A,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024B,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024C,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024D,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024E,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024F,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ024G,"Was there one time when {you/SP} had pain, aching or stiffness in {your/his",ARQ_F,Arthritis,1,
ARQ025A,"How long did it take for {your/SP's} NECK pain, aching or stiffness to full",ARQ_F,Arthritis,1,
ARQ025B,"How long did it take for {your/SP's} UPPER BACK pain, aching or stiffness t",ARQ_F,Arthritis,1,
ARQ025C,"How long did it take for {your/SP's} MID BACK pain, aching or stiffness to ",ARQ_F,Arthritis,1,
ARQ025D,"How long did it take for {your/SP's} LOW BACK pain, aching or stiffness to ",ARQ_F,Arthritis,1,
ARQ025E,"How long did it take for {your/SP's} BUTTOCKS pain, aching or stiffness to ",ARQ_F,Arthritis,1,
ARQ025F,"How long did it take for {your/SP's} HIP pain, aching or stiffness to fully",ARQ_F,Arthritis,1,
ARQ025G,"How long did it take for {your/SP's} RIB CAGE pain, aching or stiffness to ",ARQ_F,Arthritis,1,
ARQ030A,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",ARQ_F,Arthritis,1,
ARQ030B,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",ARQ_F,Arthritis,1,
ARQ030C,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",ARQ_F,Arthritis,1,
ARQ030D,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",ARQ_F,Arthritis,1,
ARQ030E,"For {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness, {",ARQ_F,Arthritis,1,
ARQ034A,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},ARQ_F,Arthritis,1,
ARQ034B,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},ARQ_F,Arthritis,1,
ARQ034C,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},ARQ_F,Arthritis,1,
ARQ034D,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},ARQ_F,Arthritis,1,
ARQ034E,How much did this medicine help to relieve {your/SP's} {back/{or} neck/{or},ARQ_F,Arthritis,1,
ARQ040,The next question is just about stiffness in {your/SP's} {back/{or} neck/{o,ARQ_F,Arthritis,1,
ARQ050,"Next are questions about pain, aching or stiffness in {your/SP's} {back/{or",ARQ_F,Arthritis,1,
ARQ060,"If {you/SP} {don't/doesn't/didn't} take medicine, what usually {happens/hap",ARQ_F,Arthritis,1,
ARQ070,"If {you/SP} {don't/doesn't/didn't} take any medicine, {do/does/did} {you/he",ARQ_F,Arthritis,1,
ARQ073,If {you/SP} {don't/doesn't/didn't} take any medicine {does/did} {your/his/h,ARQ_F,Arthritis,1,
ARQ077,"Was it {your/SP's} {back/{or} neck/{or} buttocks} pain, aching or stiffness",ARQ_F,Arthritis,1,
ARQ080,"Does/Did} {your/SP's} pain, aching or stiffness usually get better when {yo",ARQ_F,Arthritis,1,
ARQ100,"{Does/Did} the pain, aching or stiffness in {your/SP's} buttocks ever switc",ARQ_F,Arthritis,1,
ARQ110,Please look at this hand card. HAND CARD ARQ2. Besides injuries or fracture,ARQ_F,Arthritis,1,
ARQ112A,Was the pain at Location A on the diagram (the plantar aspect of the heel)?,ARQ_F,Arthritis,1,
ARQ112B,Was the pain at Location B on the diagram (the posterior Achilles tendon ar,ARQ_F,Arthritis,1,
ARQ118AA,Was the cause of the pain at Location A Heel Spurs,ARQ_F,Arthritis,1,
ARQ118AB,Was the cause of the pain at Location A Plantar Fasciitis,ARQ_F,Arthritis,1,
ARQ118AC,Was the cause of the pain at Location A Achilles tendonitis,ARQ_F,Arthritis,1,
ARQ118AD,Was the cause of the pain at Location A other tendonitis,ARQ_F,Arthritis,1,
ARQ118AJ,Was the cause of the pain at Location A Gout,ARQ_F,Arthritis,1,
ARQ118AM,Was the cause of the pain at Location A Swelling,ARQ_F,Arthritis,1,
ARQ118AN,Was the cause of the pain at Location A Nerve pain,ARQ_F,Arthritis,1,
ARQ118BA,Was the cause of the pain at Location B: Heel Spurs,ARQ_F,Arthritis,1,
ARQ118BB,Was the cause of the pain at  Location B: Plantar Fasciitis,ARQ_F,Arthritis,1,
ARQ118BC,Was the cause of the pain at  Location B: Achilles tendonitis,ARQ_F,Arthritis,1,
ARQ118BD,Was the cause of the pain at Location B: other tendonitis?,ARQ_F,Arthritis,1,
ARQ118BJ,Was the cause of the pain at  Location B: Gout,ARQ_F,Arthritis,1,
ARQ118BM,Was the cause of the pain at  Location B: Swelling,ARQ_F,Arthritis,1,
ARQ118BN,Was the cause of the pain at  Location B: Nerve pain,ARQ_F,Arthritis,1,
ARQ125C,"Next are some questions about conditions that affect the eyes, the intestin",ARQ_F,Arthritis,1,
ARQ125D,"Next are some questions about conditions that affect the eyes, the intestin",ARQ_F,Arthritis,1,
ARQ125E,"Next are some questions about conditions that affect the eyes, the intestin",ARQ_F,Arthritis,1,
ARQ135C,At the time the doctor told {you/SP} that {you/s/he} had ulcerative colitis,ARQ_F,Arthritis,1,
ARQ135D,At the time the doctor told {you/SP} that {you/s/he} had Crohn's (crow-n-z),ARQ_F,Arthritis,1,
ARDDINEX,"MEASURED DIFFERENCE IN CHEST CIRCUMFERENCE, INSPIRATION MINUS EXHALATION (I",ARX_F,Arthritis Body Measures,1,
ARDEXSTS,ARTHRITIS BODY MEASURES EXAMINATION STATUS,ARX_F,Arthritis Body Measures,1,
ARDLFTL,THE DISTANCE IN CM BETWEEN THE TWO INDICATOR MARKS PLACED ON THE LOWER BACK,ARX_F,Arthritis Body Measures,1,
ARICCEX,"CHEST CIRCUMFERENCE, EXHALATION COMMENT",ARX_F,Arthritis Body Measures,1,
ARICCIN,"CHEST CIRCUMFERENCE, INSPIRATION COMMENT",ARX_F,Arthritis Body Measures,1,
ARILFTL,LUMBAR FLEXION TEST LENGTH COMMENT,ARX_F,Arthritis Body Measures,1,
ARIO2WD,OCCIPUT-TO-WALL DISTANCE COMMENT,ARX_F,Arthritis Body Measures,1,
ARIXDIST,DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS COMMENT,ARX_F,Arthritis Body Measures,1,
ARXCCEX,"CHEST CIRCUMFERENCE MEASUREMENT, EXHALATION (CENTIMETERS)",ARX_F,Arthritis Body Measures,1,
