sig_levels,estimate,evarname,pvarname,evardesc,pvardesc
> BY & Bonf.,0.006621932252882955,DS2TVB1,LBXAPB,Thiamin (Vitamin B1) (mg),Apolipoprotein (B) (mg/dL)
> BY & Bonf.,-0.10994603326808461,URXUCL,DXXHEA,Urinary Chlamydia,Head Area (cm^2)
> BY & Bonf.,0.12310139343484607,SMD630,MDIASTOLIC,How old were you when you smoked a whole cigarette for the first time?,Diastolic Mean
> BY & Bonf.,-0.00990634369456889,DR2TLYCO,DXDLATOT,Lycopene (mcg),Left Arm Total (grams)
> BY & Bonf.,0.012765015808373463,LBXEPAH,LBXSTB,2-(N-Ethyl-perfluorooctane sulfonamido) acetic acid,Total bilirubin (mg/dL)
> BY & Bonf.,-0.004909239923482295,LBXVCF,LBXSF5SI,Blood Chloroform Result (pg/mL),"5,10-Methenyl-tetrahydrofolate (nmol/L)"
> BY & Bonf.,0.03685533318391321,URXOP2,LBXSNASI,Diethylphosphate (ug/L),Sodium (mmol/L)
> BY & Bonf.,-0.015932298456855735,URXGNS,LBDBANO,Genistein (ng/mL),Basophils number (1000 cells/uL)
> BY & Bonf.,-0.028373429818751204,LBXVEA,BMXARML,Blood Ethyl Acetate (ng/mL),Upper Arm Length (cm)
> BY & Bonf.,-6.584561451598519e-4,DR2TS180,LBXSCK,SFA 18:0 (Octadecanoic) (gm),Creatine Phosphokinase(CPK) (IU/L)
> BY & Bonf.,-0.037033370508780424,URXUAC,DXXSATA,Urinary Arsenocholine (ug/L),Subcutaneous fat area
> BY & Bonf.,0.016351416352967822,LBXVD2MS,DXAFMRD0,25-hydroxyvitamin D2 (nmol/L),Calculated DO for femur
> BY & Bonf.,0.005626486154955946,DS2TVB12,DXXRLLI,Vitamin B12 (mcg),Right Leg Lean incl Bone Mineral Content (grams)
> BY & Bonf.,0.09651096148224443,SMD630,LBXEPP,How old were you when you smoked a whole cigarette for the first time?,Protoporphyrin(ug/dL RBC)
> BY & Bonf.,-0.01444069713271915,DRXTVB1,LBXNEPCT,Thiamin (Vitamin B1) (mg),Segmented neutrophils percent (%)
> BY & Bonf.,0.01817613373170528,URXUCS,DXXTOTBS,"Cesium, urine (ng/mL)",Total Trabecular Bone Score
> BY & Bonf.,-0.004288302865947631,URXMHP,ENXMEAN,Mono-(2-ethyl)-hexyl phthalate (ng/mL),"Mean of two reproducible FENO measurements, in parts per billion"
> BY & Bonf.,-0.014255950485724471,DS2TFA,DXXINA,Folic acid (mcg),Intertrochanter area (cm^2)
> BY & Bonf.,0.014697838720164254,URXMU3,DXXRLBMC,7-methyluric acid (umol/L),Right Leg Bone Mineral Content (grams)
> BY & Bonf.,-0.011477731850041518,DRXTCALC,BMXARML,Calcium (mg),Upper Arm Length (cm)
> BY & Bonf.,-0.07541066985953244,LBDHBG,LBXMOPCT,Hepatitis B surface antigen,Monocyte percent (%)
> BY & Bonf.,-0.013804870495226797,LBXVTC,LBXSUA,Blood Trichloroethene Result (ng/mL),Uric acid (mg/dL)
> BY & Bonf.,-0.0544357070385112,URXNAL,LBXSCK,"NNAL , urine (ng/mL)",Creatine Phosphokinase(CPK) (IU/L)
> BY & Bonf.,-0.010285286298156003,URXCYHA,MSYSTOLIC,N-Acetyl-S-(1-cyano-2-hydroxyethyl)-L-cysteine (CYHA) (ng/mL),Systolic Mean
> BY & Bonf.,-0.04784219994372106,DR2TCOPP,LBXP1,Copper (mg),"Prostate specific antigen, total (ng/mL)"
> BY & Bonf.,0.005797042764598741,DR1TFIBE,DXXLSBMC,Dietary fiber (gm),Lumbar Spine Bone Mineral Content (grams)
> BY & Bonf.,-0.0102978146171932,DS2TIODI,LBXSTP,Iodine (mcg),Total protein (g/dL)
> BY & Bonf.,-0.00466521095567582,URXMNP,LBDRFO,Mono-isononyl phthalate (ng/mL),RBC folate (ng/mL)
> BY & Bonf.,-0.051091454394393256,URXUCS,DXXOSBMD,"Cesium, urine (ng/mL)",Total spine BMD
> BY & Bonf.,0.010021365951971988,DR2TMOIS,DXXHEBMD,Moisture (gm),Head Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.0077175106396217665,DR1TCRYP,DXXTSBMC,Beta-cryptoxanthin (mcg),Thoracic Spine Bone Mineral Content (grams)
> BY & Bonf.,-0.015498557606131284,DS1TCOPP,LBXSHBG,Copper (mg),"Sex Hormone Binding Globulin (SHBG, nmol/L)"
> BY & Bonf.,0.03713439917277288,ORXHPV,LBXGH,Oral HPV Result,Glycohemoglobin (%)
> BY & Bonf.,-0.012266196034662395,LBXALD,BMXTHICR,Aldrin (ng/g),Thigh Circumference (cm)
> BY & Bonf.,0.025406862262527415,URXDHD,LBXCRP,Desethyl hydroxy DEET (ug/L),C-reactive protein (mg/dL)
> BY & Bonf.,0.011101285717423257,LBXVCM,LBXTSH1,Blood Dibromochloromethane Result (pg/mL),Thyroid stimulating hormone (uIU/mL)
> BY & Bonf.,-0.03005921204543786,LBXMFOS,DXDTRTOT,Perfluoromethylheptane sulfonic acid isomers (Sm-PFOS) (ng/mL),Trunk Total (grams)
> BY & Bonf.,-0.002669166342961181,DS2TVB1,LBXGLU,Thiamin (Vitamin B1) (mg),Fasting Glucose (mg/dL)
> BY & Bonf.,0.03992584255283124,DR2TP182,DXDTOFAT,PFA 18:2 (Octadecadienoic) (gm),Total Fat (g)
> BY & Bonf.,0.02983238321115191,LBXF06,LBXSGTSI,"1,2,3,7,8,9-Hexachlorodibenzofuran (hxcdf) (fg/g)",Gamma glutamyl transferase (U/L)
> BY & Bonf.,0.01887283383837927,DR2TZINC,DXDRALE,Zinc (mg),Right Arm Lean excl Bone Mineral Content (grams)
> BY & Bonf.,-0.007101398705399266,DR1TSUGR,DXDSTPF,Total sugars (gm),Subtotal Percent Fat
> BY & Bonf.,0.0028746309738631013,DR1TP226,SPXNFEV1,PFA 22:6 (Docosahexaenoic) (gm),"Baseline 1st Test Spirometry, Forced Expiratory Volume in the first 1.0 sec"
> BY & Bonf.,0.013182776671278977,DSQTSELE,LBXSF6SI,Selenium (mcg),Mefox oxidation product (nmol/L)
> BY & Bonf.,-0.0011551780837962006,URXMOP,DXXOSBMC,Mono-n-octyl phthalate (ng/mL),Total spine BMC
> BY & Bonf.,-0.026571989488669925,LBXPFNA,LBXTIB,Perfluorononanoic acid,"TIBC, Frozen Serum (ug/dL)"
> BY & Bonf.,0.01862114644542008,DS1TVD,DXXRLA,Vitamin D (D2 + D3) (mcg),Right Leg Area (cm^2)
> BY & Bonf.,-0.01061979283774692,DRXTTFAT,LBXRDW,Total fat (gm),Red cell distribution width (%)
> BY & Bonf.,0.042855216526469425,DS2TMAGN,DXXRLFAT,Magnesium (mg),Right Leg Fat (grams)
> BY & Bonf.,-0.008678655563742277,LBX138,URXUCR,PCB138 & 158 (ng/g),"Creatinine, urine (mg/dL)"
> BY & Bonf.,0.02314547581525552,DR1TS040,DXDHETOT,SFA 4:0 (Butanoic) (gm),Head Total (grams)
> BY & Bonf.,-0.024461844414960496,DS2TLYCO,LBXLYPCT,Lycopene (mcg),Lymphocyte percent (%)
> BY & Bonf.,0.004633246931702763,SMD415A,DXXINBMC,Total # of cigarette smokers in home,Intertrochanter bone mineral content (gm)
> BY & Bonf.,-0.5579478221263171,SMD630,URXUCR,How old were you when you smoked a whole cigarette for the first time?,"Creatinine, urine (mg/dL)"
> BY & Bonf.,-0.024733438963211896,DS1TCALC,DXXLSBMC,Calcium (mg),Lumbar Spine Bone Mineral Content (grams)
> BY & Bonf.,0.004571785695292262,DR2TRET,DXXRALI,Retinol (mcg),Right Arm Lean incl Bone Mineral Content (grams)
> BY & Bonf.,-0.0032181173353232964,URXMPB,DXXRABMD,Methyl paraben (ng/ml),Right Arm Bone Mineral Density (grams/cm^2)
> BY & Bonf.,7.369911402366042e-4,DSQTKCAL,DXXAGRAT,Energy (kcal),Android to gynoid ratio
> BY & Bonf.,-0.005917486592145528,DSQTIODI,LBXSUA,Iodine (mcg),Uric acid (mg/dL)
> BY & Bonf.,0.01985868880836527,DR1TATOA,LBXSF2SI,Added alpha-tocopherol (Vitamin E) (mg),Folic acid (nmol/L)
> BY & Bonf.,0.004808829753869294,URXMNP,DXXHEFAT,Mono-isononyl phthalate (ng/mL),Head Fat (grams)
> BY & Bonf.,0.028132236533201675,URXETL,LBXEOPCT,Enterolactone (ng/mL),Eosinophils percent (%)
> BY & Bonf.,0.029213456636175666,URXUAC,LBXTST,Urinary Arsenocholine (ug/L),Testosterone total (ng/dL)
> BY & Bonf.,-0.05168081047946633,URXMNM,LBXTFR,Mono-n-methyl phthalate (ng/mL),Transferrin receptor (mg/L)
> BY & Bonf.,-0.04756384672145778,URXMX1,DXDSTLI,1-methylxanthine (umol/L),Subtotal Lean incl BMC (g)
> BY & Bonf.,0.004198274397610656,DS2TNIAC,URXUMA,Niacin (mg),"Albumin, urine (ug/mL)"
> BY & Bonf.,0.004784484482823552,URXUBA,LBXSGTSI,"Barium, urine (ng/mL)",Gamma glutamyl transferase (U/L)
> BY & Bonf.,0.43463725427147726,LBDRPCR,DXDLLTOT,Roche HPV linear array (LA) summary result,Left Leg Total (grams)
> BY & Bonf.,0.02369789326241643,URXPMA,LBXPLTSI,N-acetyl-s-(phenyl)-L-cysteine(ng/mL),Platelet count SI (1000 cells/uL)
> BY & Bonf.,-0.013344976463807395,DR2TTFAT,DXXTSA,Total fat (gm),Thoracic Spine Area (cm^2)
> BY & Bonf.,0.03380284275876507,DR2TCRYP,DXXTOTBS,Beta-cryptoxanthin (mcg),Total Trabecular Bone Score
> BY & Bonf.,-0.021150139194258233,URXUMMA,LBXSCK,Urinary Monomethylarsonic acid (ug/L),Creatine Phosphokinase(CPK) (IU/L)
> BY & Bonf.,0.004490637461743395,URXP06,LBXNEPCT,1-phenanthrene (ng/L),Segmented neutrophils percent (%)
> BY & Bonf.,0.05125917178422139,URXPMM,DXASPNK,N-acetyl-s-(3-hydroxypropyl-1-methyl)-L-cysteine(ng/mL),Calculated K for spine
> BY & Bonf.,0.003026945817591629,DS1TVB2,DXDTRLE,Riboflavin (Vitamin B2) (mg),Trunk Lean excl Bone Mineral Content (grams)
> BY & Bonf.,0.019721884220870685,DR1TATOC,LBXSKSI,Vitamin E as alpha-tocopherol (mg),Potassium (mmol/L)
> BY & Bonf.,0.05849896148749849,LBXHP2C,DXXLLBMD,Cobas HPV Swab High Risk,Left Leg Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.03525054400178839,URXUTL,DXDSTBMD,"Thallium, urine (ng/mL)",Subtotal Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.06191192155374591,LBXBSE,DXXINBMD,Blood selenium(ug/L),Intertrochanter bone mineral density (gm/cm^2)
> BY & Bonf.,-0.04738390866747279,SMQ725,DXDRATOT,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,Right Arm Total (grams)
> BY & Bonf.,0.013456580415937862,DR1TBCAR,DXXWDBMC,Beta-carotene (mcg),Ward's triangle bone mineral content (gm)
> BY & Bonf.,0.24749075293477774,LBDHBG,DXDSTA,Hepatitis B surface antigen,Subtotal Area (cm^2)
> BY & Bonf.,-0.01049562603153889,SMQ710,LBXCRP,"During the past 5 days {including today}, on how many days did {you/he/she}",C-reactive protein (mg/dL)
> BY & Bonf.,-0.005173998004125102,DR1TALCO,DXXINBMD,Alcohol (gm),Intertrochanter bone mineral density (gm/cm^2)
> BY & Bonf.,0.03761450713695836,LBXF02,CVDFITLV,"1,2,3,7,8-Pentachlorodibenzofuran (pncdf) (fg/g)",Cardiovascular fitness level
> BY & Bonf.,0.04743838101695495,LBXD07,LBXSCA,"1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g)",Total calcium (mg/dL)
> BY & Bonf.,-0.031080156891892537,URXETD,DXAFMRK,Enterodiol (ng/mL),Calculated K for femur
> BY & Bonf.,-0.010801084216187796,DR2TLZ,LBXFER,Lutein + zeaxanthin (mcg),Ferritin(ng/mL)
> BY & Bonf.,-0.0011313420443566423,LBXV1D,DXXRLA,"Blood 1,2-Dichlorobenzene Result",Right Leg Area (cm^2)
> BY & Bonf.,0.013130579611952435,LBXPFHP,BMXWAIST,Perfluoroheptanoic acid,Waist Circumference (cm)
> BY & Bonf.,0.020303554607724227,DSQTIRON,DXXLLA,Iron (mg),Left Leg Area(cm^2)
> BY & Bonf.,0.004412966715645664,DR2TS060,DXXNKBMC,SFA 6:0 (Hexanoic) (gm),Femoral neck bone mineral content (gm)
> BY & Bonf.,-0.011211988908727257,DR2TFDFE,RSV_ObservedOTUsSD,Folate as dietary folate equivalents (mcg),RSV_ObservedOTUsSD
> BY & Bonf.,-0.016633757706907056,DR1TRET,DXXAPFAT,Retinol (mcg),Android percent fat
> BY & Bonf.,0.027579732541329418,DS2TPOTA,LBXSF6SI,Potassium (mg),Mefox oxidation product (nmol/L)
> BY & Bonf.,-0.047244235394495314,URXDHB,DXXRAA,"N-acetyl-S-(3,4-Dihidroxybutyl)-L-cysteine(ng/mL)",Right Arm Area (cm^2)
> BY & Bonf.,-0.00855262886038461,LBXF08,CVDFITLV,"1,2,3,4,6,7,8-Heptachlorodibenzofuran (hpcdf) (fg/g)",Cardiovascular fitness level
> BY & Bonf.,0.04552952149638191,ORXHPV,DXXTATA,Oral HPV Result,Total abdominal fat area
> BY & Bonf.,-0.01941044600127397,DR2TFIBE,LBXSATSI,Dietary fiber (gm),Alanine aminotransferase ALT (U/L)
> BY & Bonf.,0.025134407347870275,URXMAD,DXASPND0,Mandelic acid(ng/mL),Calculated D0 for spine
> BY & Bonf.,0.006126895754226482,LBDHCV,LBDP3,Hepatitis C antibody (confirmed),Prostate specific antigen ratio (%)
> BY & Bonf.,0.011735646261645237,URXBUP,LBXLYPCT,Butyl paraben (ng/ml),Lymphocyte percent (%)
> BY & Bonf.,0.020830975096971828,DSQTCALC,DXXGYLM,Calcium (mg),Gynoid lean mass
> BY & Bonf.,-0.043206232895877536,URXP10,DXXOSBMC,1-pyrene (ng/L),Total spine BMC
> BY & Bonf.,0.008870790189272872,URXUSB,DXXVFATM,"Antimony, urine (ng/mL)",Visceral adipose tissue mass
> BY & Bonf.,-0.004949346575173352,DS1DSCNT,LBXHGB,Number of dietary supplements reported,Hemoglobin (g/dL)
> BY & Bonf.,0.026193213881039137,URXGAM,DXDLAPF,N-acetyl-S-(2-carbamoyl-2-hydroxyethyl)-L-cysteine(ng/mL),Left Arm Percent Fat
> BY & Bonf.,0.006592680110338407,DS1TVB12,DXXL2BMD,Vitamin B12 (mcg),L2 Bone Mineral Density
> BY & Bonf.,0.008784253461795132,DS2TZINC,BMXBMI,Zinc (mg),Body Mass Index (kg/m**2)
> BY & Bonf.,0.002586064751271836,DR1TRET,DXXWDBMC,Retinol (mcg),Ward's triangle bone mineral content (gm)
> BY & Bonf.,-0.018299138812317227,DRXTS040,LBXIRN,SFA 4:0 (Butanoic) (gm),"Iron, Frozen Serum (ug/dL)"
> BY & Bonf.,-0.006193709330197596,URXUAB,MSYSTOLIC,Urinary Arsenobetaine (ug/L),Systolic Mean
> BY & Bonf.,0.02746865196028905,URXCCC,LBXSGTSI,"cis-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",Gamma glutamyl transferase (U/L)
> BY & Bonf.,0.0314678233198666,DS2TCOPP,DXXAGRAT,Copper (mg),Android to gynoid ratio
> BY & Bonf.,0.026793232157575016,URXTCC,DXASPNK,"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",Calculated K for spine
> BY & Bonf.,0.00999104054555993,DSQTVB12,DXXTATV,Vitamin B12 (mcg),Total abdominal fat volume
> BY & Bonf.,-0.0031928755987381996,LBXBPB,DXXHEA,Lead (ug/dL),Head Area (cm^2)
> BY & Bonf.,-2.101709919074045e-4,DR2TSODI,LBXSF5SI,Sodium (mg) (adjusted for salt use in food preparation),"5,10-Methenyl-tetrahydrofolate (nmol/L)"
> BY & Bonf.,-0.015154226521691279,LBXVBM,DXXL1A,Blood Bromodichloromethane Result (pg/mL),L1 area
> BY & Bonf.,-0.03050659272838925,SMQ725,LBXSF2SI,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,Folic acid (nmol/L)
> BY & Bonf.,-0.004329766262442647,URXMNP,DXXRLA,Mono-isononyl phthalate (ng/mL),Right Leg Area (cm^2)
> BY & Bonf.,-0.011314292533704506,LBXVEA,LBXSNASI,Blood Ethyl Acetate (ng/mL),Sodium (mmol/L)
> BY & Bonf.,9.210515059209725e-5,DR1TBCAR,LBXSATSI,Beta-carotene (mcg),Alanine aminotransferase ALT (U/L)
> BY & Bonf.,-0.272106946598072,LBDHBG,LBXSGB,Hepatitis B surface antigen,Globulin (g/dL)
> BY & Bonf.,-0.0064886977627269405,DR1TVARA,DXDTOBMC,Vitamin A as retinol activity equivalents (mcg),Total Bone Mineral Content (g)
> BY & Bonf.,0.04945521902027234,URXMX2,LBXEOPCT,3-methylxanthine (umol/L),Eosinophils percent (%)
> BY & Bonf.,0.006043398286093005,DSQTFDFE,DXXOFA,"Folate, DFE (mcg)",Total femur area (cm^2)
> BY & Bonf.,0.048793630802776516,LBXMS1,LEXBRPM,S. aureus present 1,Mean brachial systolic blood pressure (in millimeters of mercury)
> BY & Bonf.,0.02886014890945622,DS1TPOTA,DXXL1BMC,Potassium (mg),L1 Bone Mineral Composition
> BY & Bonf.,0.006426528033290994,DSQTCOPP,LBXGLU,Copper (mg),Fasting Glucose (mg/dL)
> BY & Bonf.,-0.02596167825767544,DR1TSELE,RSV_ObservedOTUsSD,Selenium (mcg),RSV_ObservedOTUsSD
> BY & Bonf.,0.041127100814019435,DR2TSFAT,DXDLLTOT,Total saturated fatty acids (gm),Left Leg Total (grams)
> BY & Bonf.,-0.057059048436453916,DRXTCOPP,BPXPLS,Copper (mg),60 sec. pulse (30 sec. pulse * 2):
> BY & Bonf.,0.023003530950188537,DR2TP225,DXXPEA,PFA 22:5 (Docosapentaenoic) (gm),Pelvis Area (cm^2)
> BY & Bonf.,0.09418777488495549,SMQ725,LBDLDL,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...,LDL-cholesterol (mg/dL)
> BY & Bonf.,0.01890379475068928,LBXVCT,DXXTRLI,Blood Carbon Tetrachloride Result (ng/mL),Trunk Lean incl Bone Mineral Content (grams)
> BY & Bonf.,-0.005103839130782451,DR1TS080,DXXRRBMC,SFA 8:0 (Octanoic) (gm),Right Ribs Bone Mineral Content (grams)
> BY & Bonf.,0.05857226971284295,LBXPDE,LBXIRN,ppDDE (ng/g),"Iron, Frozen Serum (ug/dL)"
> BY & Bonf.,-0.04394604681865808,URXP02,DXXL3TBS,2-napthol(ng/L),L3 TBS
> BY & Bonf.,-0.026944704019454997,DR1TVK,DXDLAPF,Vitamin K (mcg),Left Arm Percent Fat
> BY & Bonf.,0.025033378537213706,LBXPFBS,DXXL2BMC,Perfluorobutane sulfonic acid,L2 Bone Mineral Composition
> BY & Bonf.,0.06693018210716861,DSQTSELE,DXDTRBMC,Selenium (mcg),Trunk Bone Mineral Content (grams)
> BY & Bonf.,-0.011403466704350617,DR2TS100,DXXL1A,SFA 10:0 (Decanoic) (gm),L1 area
> BY & Bonf.,0.011595363320091303,SMQ_current_ever_never,URXUIO,"Smoking: current, ever, never","Iodine, urine (ng/mL)"
> BY & Bonf.,0.026638742205995814,SMD415,DXXTRA,Total number of smokers in home,Trochanter area (cm^2)
> BY & Bonf.,-0.0054420627655028045,DR2TP204,LBXSIR,PFA 20:4 (Eicosatetraenoic) (gm),"Iron, refigerated (ug/dL)"
> BY & Bonf.,-0.4834700936723586,SMQ670,LBXNEPCT,"During the past 12 months, have you stopped smoking for one day or longer b",Segmented neutrophils percent (%)
> BY & Bonf.,0.014663148047267916,LBXMPAH,DXXL3TBS,2-(N-Methyl-perfluorooctane sulfonamido) acetic acid,L3 TBS
> BY & Bonf.,-0.011309691307935682,URXMC1,BMXSUB,Mono-(3-carboxypropyl) phthalate (ng/mL),Subscapular Skinfold (mm)
> BY & Bonf.,-0.09565041624470193,URXOPM,DXXPEBMD,3-phenoxybenzoic (ug/L) acid result,Pelvis Bone Mineral Density (grams/cm^2)
> BY & Bonf.,-0.017300588629826003,URXNOS,LBDNENO,Nicosulfuron (ug/L),Segmented neutrophils num (1000 cell/uL)
> BY & Bonf.,-0.019659948580037404,DR1TFF,URXUMA,Food folate (mcg),"Albumin, urine (ug/mL)"
> BY & Bonf.,-8.666514908079755e-5,DR2TATOA,LBXSOSSI,Added alpha-tocopherol (Vitamin E) (mg),Osmolality (mmol/Kg)
> BY & Bonf.,-0.01963442468726957,LBXPFDO,RSV_FaPhyloDivSD,Perfluorododecanoic acid,RSV_FaPhyloDivSD
> BY & Bonf.,0.03417786681052901,DSQTFDFE,DXXHEBMD,"Folate, DFE (mcg)",Head Bone Mineral Density (grams/cm^2)
> BY & Bonf.,0.02261129241439876,LBXPFHP,DXXTRA,Perfluoroheptanoic acid,Trochanter area (cm^2)
> BY & Bonf.,-0.03413399524157207,URXMOH,DXXTSBMC,Mono-(2-ethyl-5-oxohexl) phthalate (ng/mL),Thoracic Spine Bone Mineral Content (grams)
> BY & Bonf.,-0.02044875609167058,DR2TS160,LBXPT21,SFA 16:0 (Hexadecanoic) (gm),Parathyroid Hormone(Elecys method) pg/mL
> BY & Bonf.,0.0024227096093475085,DS2TVB2,DXXTRBMD,Riboflavin (Vitamin B2) (mg),Trochanter bone mineral density (gm/cm^2)
> BY & Bonf.,0.021484483186755554,DS1TVD,LBXSUA,Vitamin D (D2 + D3) (mcg),Uric acid (mg/dL)
> BY & Bonf.,-0.006261612142917392,URXMX2,DXDSTA,3-methylxanthine (umol/L),Subtotal Area (cm^2)
> BY & Bonf.,0.012378994676099986,URXDMA,LBXMMA,o-Desmethylangolensin (O-DMA) (ng/mL),Methylmalonic acid (umol/L)
> BY & Bonf.,0.00517992213828067,DSQTFDFE,DXXOFBMD,"Folate, DFE (mcg)",Total femur bone mineral density (gm/cm^2)
> BY & Bonf.,0.03413820476295051,LBX187,URXUMA,PCB187 (ng/g),"Albumin, urine (ug/mL)"
